Day,Date,Daily Cases,Active Cases
1,22/01/2020,0,0
2,23/01/2020,0,0
3,24/01/2020,0,0
4,25/01/2020,0,0
5,26/01/2020,0,0
6,27/01/2020,0,0
7,28/01/2020,0,0
8,29/01/2020,0,0
9,30/01/2020,0,0
10,31/01/2020,0,0
11,01/02/2020,0,0
12,02/02/2020,0,0
13,03/02/2020,0,0
14,04/02/2020,0,0
15,05/02/2020,0,0
16,06/02/2020,0,0
17,07/02/2020,0,0
18,08/02/2020,0,0
19,09/02/2020,0,0
20,10/02/2020,0,0
21,11/02/2020,0,0
22,12/02/2020,0,0
23,13/02/2020,0,0
24,14/02/2020,0,0
25,15/02/2020,0,0
26,16/02/2020,0,0
27,17/02/2020,0,0
28,18/02/2020,0,0
29,19/02/2020,0,0
30,20/02/2020,0,0
31,21/02/2020,0,0
32,22/02/2020,0,0
33,23/02/2020,0,0
34,24/02/2020,0,0
35,25/02/2020,0,0
36,26/02/2020,0,0
37,27/02/2020,0,0
38,28/02/2020,0,0
39,29/02/2020,1,1
40,01/03/2020,0,1
41,02/03/2020,0,1
42,03/03/2020,1,2
43,04/03/2020,4,6
44,05/03/2020,0,6
45,06/03/2020,12,18
46,07/03/2020,0,18
47,08/03/2020,1,19
48,09/03/2020,2,21
49,10/03/2020,13,34
50,11/03/2020,9,42
51,12/03/2020,0,42
52,13/03/2020,47,89
53,14/03/2020,39,127
54,15/03/2020,0,123
55,16/03/2020,40,163
56,17/03/2020,54,205
57,18/03/2020,69,274
58,19/03/2020,265,538
59,20/03/2020,126,662
60,21/03/2020,102,751
61,22/03/2020,121,863
62,23/03/2020,219,1082
63,24/03/2020,204,1239
64,25/03/2020,235,1435
65,26/03/2020,255,1690
66,27/03/2020,302,1952
67,28/03/2020,294,2192
68,29/03/2020,200,2323
69,30/03/2020,295,2353
70,31/03/2020,325,2552
71,01/04/2020,212,2662
72,02/04/2020,402,2943
73,03/04/2020,424,3148
74,04/04/2020,331,3275
75,05/04/2020,390,3430
76,06/04/2020,370,3545
77,07/04/2020,345,3588
78,08/04/2020,365,3659
79,09/04/2020,500,3959
80,10/04/2020,1515,5179
81,11/04/2020,839,5693
82,12/04/2020,727,6208
83,13/04/2020,992,6798
84,14/04/2020,832,7206
85,15/04/2020,1068,7943
86,16/04/2020,724,8277
87,17/04/2020,709,8616
88,18/04/2020,778,9049
89,19/04/2020,493,9177
90,20/04/2020,401,9078
91,21/04/2020,388,7951
92,22/04/2020,631,7743
93,23/04/2020,936,7952
94,24/04/2020,577,7537
95,25/04/2020,377,7082
96,26/04/2020,701,6715
97,27/04/2020,386,6377
98,28/04/2020,229,5897
99,29/04/2020,376,5495
100,30/04/2020,359,5361
101,01/05/2020,221,5181
102,02/05/2020,343,5136
103,03/05/2020,330,4835
104,04/05/2020,266,4165
105,05/05/2020,211,3799
106,06/05/2020,265,3687
107,07/05/2020,137,3123
108,08/05/2020,156,2893
109,09/05/2020,219,2883
110,10/05/2020,236,2743
111,11/05/2020,139,2523
112,12/05/2020,107,2409
113,13/05/2020,159,2225
114,14/05/2020,426,2321
115,15/05/2020,129,2184
116,16/05/2020,92,2065
117,17/05/2020,64,1864
118,18/05/2020,88,1815
119,19/05/2020,51,1710
120,20/05/2020,64,1555
121,21/05/2020,76,1395
122,22/05/2020,115,1371
123,23/05/2020,76,1340
124,24/05/2020,57,1238
125,25/05/2020,59,871
126,26/05/2020,37,779
127,27/05/2020,68,755
128,28/05/2020,38,729
129,29/05/2020,35,676
130,30/05/2020,53,678
131,31/05/2020,61,675
