date,day,cases
05/08/2020,197,434
06/08/2020,198,491
07/08/2020,199,578
08/08/2020,200,715
09/08/2020,201,770
10/08/2020,202,741
11/08/2020,203,736
12/08/2020,204,729
13/08/2020,205,767
14/08/2020,206,787
15/08/2020,207,938
16/08/2020,208,954
17/08/2020,209,941
18/08/2020,210,1029
19/08/2020,211,903
20/08/2020,212,964
21/08/2020,213,987
22/08/2020,214,1107
23/08/2020,215,1131
24/08/2020,216,1187
25/08/2020,217,1206
26/08/2020,218,1172
27/08/2020,219,1196
28/08/2020,220,1265
29/08/2020,221,1221
30/08/2020,222,1213
31/08/2020,223,1135
01/09/2020,224,1270
02/09/2020,225,1206
03/09/2020,226,1237
04/09/2020,227,1187
05/09/2020,228,1333
06/09/2020,229,1309
07/09/2020,230,1321
08/09/2020,231,1502
09/09/2020,232,1444
10/09/2020,233,1600
11/09/2020,234,1760
12/09/2020,235,1705
13/09/2020,236,1871
14/09/2020,237,1986
15/09/2020,238,2246
16/09/2020,239,2265
17/09/2020,240,2351
18/09/2020,241,2497
19/09/2020,242,2458
20/09/2020,243,2769
21/09/2020,244,2761
22/09/2020,245,2873
23/09/2020,246,2945
24/09/2020,247,3009
25/09/2020,248,3123
26/09/2020,249,3011
27/09/2020,250,3191
28/09/2020,251,3354
29/09/2020,252,3469
30/09/2020,253,3617
01/10/2020,254,3664
02/10/2020,255,3942
03/10/2020,256,4224
04/10/2020,257,4357
05/10/2020,258,4555
06/10/2020,259,4658
07/10/2020,260,5024
08/10/2020,261,5096
09/10/2020,262,5326
10/10/2020,263,5974
11/10/2020,264,6373
12/10/2020,265,6754
13/10/2020,266,7096
14/10/2020,267,7575
15/10/2020,268,8397
16/10/2020,269,8878
17/10/2020,270,9705
18/10/2020,271,10378
19/10/2020,272,10907
20/10/2020,273,11553
21/10/2020,274,11708
22/10/2020,275,11948
23/10/2020,276,11910
24/10/2020,277,11949
25/10/2020,278,11885
26/10/2020,279,11638
27/10/2020,280,11340
28/10/2020,281,10756
29/10/2020,282,10335
30/10/2020,283,10066
31/10/2020,284,9200
01/11/2020,285,8580
02/11/2020,286,8274
03/11/2020,287,7787
04/11/2020,288,7375
05/11/2020,289,6918
06/11/2020,290,6471
07/11/2020,291,6088
08/11/2020,292,5960
09/11/2020,293,5362
10/11/2020,294,4830
11/11/2020,295,4791
12/11/2020,296,4630
13/11/2020,297,4349
14/11/2020,298,4478
15/11/2020,299,4420
16/11/2020,300,4310
17/11/2020,301,4148
18/11/2020,302,4203
19/11/2020,303,4079
20/11/2020,304,4143
21/11/2020,305,4254
22/11/2020,306,4214
23/11/2020,307,4079
24/11/2020,308,3831
25/11/2020,309,3661
26/11/2020,310,3591
27/11/2020,311,3343
28/11/2020,312,3256
29/11/2020,313,3183
30/11/2020,314,3071
01/12/2020,315,2996
02/12/2020,316,2923
