t real,beta_real1,gamma_real1,beta_real2,gamma_real2,beta_real3,gamma_real3,beta_real4,gamma_real4,beta_real5,gamma_real5,t pred,beta_pred1,gamma_pred1,beta_pred2,gamma_pred2,beta_pred3,gamma_pred3,beta_pred4,gamma_pred4,beta_pred5,gamma_pred5
0,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,5,0.4123,0.0719,0.4028,0.0762,0.4045,0.0776,0.4092,0.0717,0.3735,0.072
1,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,0.487654956,0.090909091,6,0.4176,0.0768,0.4253,0.0758,0.4255,0.077,0.3833,0.0726,0.3899,0.0771
2,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,0.475614712,0.090909091,7,0.4282,0.0769,0.4291,0.0767,0.4296,0.0767,0.4294,0.0766,0.3873,0.0767
3,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,0.463871743,0.090909091,8,0.4324,0.0767,0.4315,0.0768,0.433,0.0773,0.4279,0.0776,0.3812,0.0781
4,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,0.452418709,0.090909091,9,0.4381,0.0785,0.438,0.0778,0.4313,0.0751,0.4366,0.0785,0.3779,0.0801
5,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,0.441248451,0.090909091,10,0.445,0.0764,0.4434,0.0777,0.4419,0.078,0.4444,0.0782,0.3741,0.0799
6,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,0.430353988,0.090909091,11,0.4528,0.0781,0.4511,0.0782,0.451,0.0791,0.4524,0.0787,0.3682,0.0813
7,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,0.41972851,0.090909091,12,0.4615,0.0788,0.4621,0.0777,0.4642,0.0781,0.4642,0.0796,0.3669,0.0818
8,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,0.409365377,0.090909091,13,0.4758,0.0811,0.4758,0.08,0.4752,0.0801,0.4753,0.0798,0.364,0.0834
9,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,0.399258109,0.090909091,14,0.4884,0.082,0.4891,0.0812,0.4888,0.0814,0.4888,0.0821,0.3615,0.0844
10,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,0.389400392,0.090909091,15,0.5035,0.0824,0.5055,0.0823,0.5051,0.083,0.5011,0.0831,0.3599,0.0847
11,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,0.379786062,0.090909091,16,0.5206,0.084,0.5145,0.0859,0.5124,0.0858,0.5085,0.0826,0.357,0.0854
12,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,0.37040911,0.090909091,17,0.5377,0.0866,0.5114,0.0889,0.5109,0.0886,0.506,0.0799,0.3545,0.0864
13,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,0.361263677,0.090909091,18,0.5526,0.0882,0.5022,0.0907,0.5018,0.0911,0.4933,0.0776,0.3526,0.0878
14,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,0.5,0.090909091,0.352344045,0.090909091,19,0.5668,0.091,0.4731,0.0913,0.4701,0.0912,0.4644,0.0731,0.3495,0.0889
15,0.5,0.090909091,0.4,0.090909091,0.4,0.090909091,0.4,0.071428571,0.343644639,0.090909091,20,0.5793,0.0912,0.4395,0.0914,0.4479,0.0912,0.4464,0.0709,0.3441,0.0897
16,0.5,0.090909091,0.4,0.090909091,0.4,0.090909091,0.4,0.071428571,0.335160023,0.090909091,21,0.5884,0.0925,0.4548,0.0924,0.4552,0.0929,0.4529,0.0721,0.3409,0.0903
17,0.5,0.090909091,0.4,0.090909091,0.4,0.090909091,0.4,0.071428571,0.326884893,0.090909091,22,0.5919,0.093,0.4563,0.0931,0.457,0.0928,0.4554,0.0722,0.3358,0.0903
18,0.5,0.090909091,0.4,0.090909091,0.4,0.090909091,0.4,0.071428571,0.318814076,0.090909091,23,0.592,0.0937,0.4147,0.0908,0.4562,0.0933,0.4568,0.0728,0.3302,0.0924
19,0.5,0.090909091,0.4,0.090909091,0.4,0.090909091,0.4,0.071428571,0.310942528,0.090909091,24,0.5908,0.0941,0.4578,0.0934,0.4549,0.0938,0.4562,0.073,0.3216,0.0915
20,0.5,0.090909091,0.4,0.090909091,0.4,0.090909091,0.4,0.071428571,0.30326533,0.090909091,25,0.5877,0.0946,0.4536,0.0943,0.4502,0.0942,0.4565,0.0734,0.3153,0.0925
21,0.5,0.090909091,0.4,0.090909091,0.4,0.090909091,0.4,0.071428571,0.295777682,0.090909091,26,0.5829,0.0946,0.4511,0.0944,0.4572,0.0944,0.4543,0.073,0.3071,0.0938
22,0.5,0.090909091,0.4,0.090909091,0.4,0.090909091,0.4,0.071428571,0.288474905,0.090909091,27,0.5709,0.0949,0.4467,0.0943,0.4688,0.0942,0.4516,0.0738,0.2998,0.0927
23,0.5,0.090909091,0.4,0.090909091,0.4,0.090909091,0.4,0.071428571,0.281352434,0.090909091,28,0.5734,0.0947,0.4461,0.0952,0.4915,0.0932,0.4508,0.0732,0.2917,0.0935
24,0.5,0.090909091,0.4,0.090909091,0.4,0.090909091,0.4,0.071428571,0.274405818,0.090909091,29,0.5617,0.0947,0.4459,0.0951,0.5355,0.0945,0.4487,0.0738,0.2839,0.094
25,0.5,0.090909091,0.4,0.090909091,0.5,0.090909091,0.4,0.071428571,0.267630714,0.090909091,30,0.5529,0.0955,0.444,0.0947,0.5659,0.0947,0.446,0.0741,0.2778,0.093
26,0.5,0.090909091,0.4,0.090909091,0.5,0.090909091,0.4,0.071428571,0.261022888,0.090909091,31,0.5564,0.095,0.4321,0.0937,0.5578,0.0947,0.4429,0.0732,0.2691,0.094
27,0.5,0.090909091,0.4,0.090909091,0.5,0.090909091,0.4,0.071428571,0.25457821,0.090909091,32,0.5599,0.095,0.4347,0.0949,0.5575,0.095,0.4433,0.0741,0.2626,0.0942
28,0.5,0.090909091,0.4,0.090909091,0.5,0.090909091,0.4,0.071428571,0.248292652,0.090909091,33,0.5581,0.0947,0.4374,0.0949,0.5521,0.0948,0.4401,0.0739,0.2554,0.0941
29,0.5,0.090909091,0.4,0.090909091,0.5,0.090909091,0.4,0.071428571,0.242162284,0.090909091,34,0.5597,0.0928,0.4337,0.0948,0.5486,0.0951,0.4391,0.0739,0.2482,0.0941
30,0.5,0.090909091,0.4,0.090909091,0.5,0.090909091,0.4,0.071428571,0.236183276,0.090909091,35,0.5411,0.0948,0.4421,0.095,0.5491,0.0948,0.4309,0.0743,0.2412,0.0946
31,0.5,0.090909091,0.4,0.090909091,0.5,0.090909091,0.4,0.071428571,0.23035189,0.090909091,,,,,,,,,,,
32,0.5,0.090909091,0.4,0.090909091,0.5,0.090909091,0.4,0.071428571,0.224664482,0.090909091,,,,,,,,,,,
33,0.5,0.090909091,0.4,0.090909091,0.5,0.090909091,0.4,0.071428571,0.219117496,0.090909091,,,,,,,,,,,
34,0.5,0.090909091,0.4,0.090909091,0.5,0.090909091,0.4,0.071428571,0.213707466,0.090909091,,,,,,,,,,,
35,0.5,0.090909091,0.4,0.090909091,0.5,0.090909091,0.4,0.071428571,0.20843101,0.090909091,,,,,,,,,,,
