t real,beta_real1,gamma_real1,beta_real2,gamma_real2,beta_real3,gamma_real3,beta_real4,gamma_real4,beta_real5,gamma_real5,t pred,beta_pred1,gamma_pred1,beta_pred2,gamma_pred2,beta_pred3,gamma_pred3,beta_pred4,gamma_pred4,beta_pred5,gamma_pred5
0,0.15,0.090909091,0.15,0.090909091,0.15,0.090909091,0.15,0.090909091,0.15,0.090909091,5,0.1399,0.0856,0.1334,0.0877,0.1348,0.0831,0.1373,0.0851,0.1312,0.0867
1,0.15,0.090909091,0.15,0.090909091,0.15,0.090909091,0.15,0.090909091,0.146296487,0.090909091,6,0.1461,0.0884,0.1464,0.0885,0.1451,0.0882,0.1435,0.0867,0.1309,0.0885
2,0.15,0.090909091,0.15,0.090909091,0.15,0.090909091,0.15,0.090909091,0.142684414,0.090909091,7,0.1451,0.0894,0.1451,0.0881,0.1458,0.0916,0.1449,0.0876,0.1308,0.0898
3,0.15,0.090909091,0.15,0.090909091,0.15,0.090909091,0.15,0.090909091,0.139161523,0.090909091,8,0.1481,0.0892,0.1414,0.0859,0.1461,0.0891,0.1443,0.0894,0.1306,0.0893
4,0.15,0.090909091,0.15,0.090909091,0.15,0.090909091,0.15,0.090909091,0.135725613,0.090909091,9,0.1443,0.0898,0.1449,0.088,0.1463,0.0875,0.1442,0.0852,0.129,0.096
5,0.15,0.090909091,0.15,0.090909091,0.15,0.090909091,0.15,0.090909091,0.132374535,0.090909091,10,0.142,0.0886,0.1453,0.0883,0.1452,0.0883,0.1452,0.0903,0.1234,0.0898
6,0.15,0.090909091,0.15,0.090909091,0.15,0.090909091,0.15,0.090909091,0.129106196,0.090909091,11,0.1491,0.0893,0.1432,0.0878,0.1427,0.0872,0.1456,0.0881,0.1174,0.0875
7,0.15,0.090909091,0.15,0.090909091,0.15,0.090909091,0.15,0.090909091,0.125918553,0.090909091,12,0.146,0.0899,0.1457,0.0883,0.1451,0.0876,0.1462,0.0883,0.1181,0.0895
8,0.15,0.090909091,0.15,0.090909091,0.15,0.090909091,0.15,0.090909091,0.122809613,0.090909091,13,0.1675,0.0993,0.1456,0.0882,0.1433,0.0879,0.1457,0.088,0.1149,0.0896
9,0.15,0.090909091,0.15,0.090909091,0.15,0.090909091,0.15,0.090909091,0.119777433,0.090909091,14,0.1461,0.0886,0.1456,0.0907,0.1508,0.0879,0.1461,0.0883,0.1116,0.0895
10,0.15,0.090909091,0.15,0.090909091,0.15,0.090909091,0.15,0.090909091,0.116820117,0.090909091,15,0.1466,0.0895,0.1456,0.0881,0.1441,0.0885,0.1452,0.0867,0.1094,0.0905
