t real,beta_real1,gamma_real1,mu_real1,beta_real2,gamma_real2,mu_real2,beta_real3,gamma_real3,mu_real3,beta_real4,gamma_real4,mu_real4,beta_real5,gamma_real5,mu_real5,t pred,beta_pred1,gamma_pred1,mu_pred1,beta_pred2,gamma_pred2,mu_pred2,beta_pred3,gamma_pred3,mu_pred3,beta_pred4,gamma_pred4,mu_pred4,beta_pred5,gamma_pred5,mu_pred5
0,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,5,0.1391,0.0865,0.0018,0.1372,0.0841,0.0026,0.1412,0.0857,0.0027,0.1321,0.0798,0.0018,0.1248,0.0831,0.0002
1,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.146296487,0.090909091,0.0028,6,0.1408,0.0813,0.0005,0.1436,0.087,0.0013,0.1441,0.0878,0.0032,0.1437,0.0915,0.0035,0.1293,0.0932,0
2,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.142684414,0.090909091,0.0028,7,0.146,0.0878,0.0012,0.1465,0.0884,0.0038,0.1438,0.0878,0.0017,0.1394,0.0834,0.0009,0.1316,0.088,0.0021
3,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.139161523,0.090909091,0.0028,8,0.1432,0.0897,0.0034,0.145,0.0901,0.0049,0.1414,0.0877,0.0016,0.1444,0.0866,0.0043,0.1282,0.088,0.0024
4,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.135725613,0.090909091,0.0028,9,0.145,0.0889,0.0016,0.1456,0.0886,0.0029,0.1463,0.0893,0.0028,0.1449,0.0865,0.0025,0.1273,0.0899,0.0048
5,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.132374535,0.090909091,0.0028,10,0.1461,0.0886,0.0017,0.145,0.0883,0.0027,0.1219,0.0813,0,0.1472,0.0886,0.0042,0.1225,0.0891,0.0023
6,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.129106196,0.090909091,0.0028,11,0.146,0.0874,0.0027,0.1471,0.0886,0.0031,0.1456,0.0885,0.0027,0.1501,0.0898,0.004,0.1211,0.09,0.003
7,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.125918553,0.090909091,0.0028,12,0.1464,0.0885,0.0029,0.1459,0.0887,0.0026,0.1463,0.0889,0.0026,0.1462,0.0887,0.0027,0.118,0.0895,0.0031
8,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.122809613,0.090909091,0.0028,13,0.1452,0.0889,0.0029,0.1421,0.0879,0.0023,0.1456,0.0868,0.0014,0.1458,0.0886,0.0035,0.1153,0.0905,0.003
9,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.119777433,0.090909091,0.0028,14,0.1463,0.0883,0.0031,0.1454,0.0879,0.0022,0.1465,0.0885,0.0027,0.1454,0.0886,0.002,0.1107,0.0877,0.0028
10,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.116820117,0.090909091,0.0028,15,0.1463,0.0886,0.0028,0.1431,0.0868,0.0026,0.145,0.089,0.003,0.1442,0.0884,0.0025,0.1064,0.0894,0.0016
11,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.15,0.090909091,0.0028,0.113935818,0.090909091,0.0028,16,0.1462,0.0882,0.0039,0.1578,0.0875,0.0025,0.159,0.0885,0.0035,0.1585,0.0949,0.0013,0.1071,0.0902,0.0031
