t,S,I,R,D,R0,beta, gamma, mu
0,99,1,0,0,1.6006984850594699,0.15,0.090909091,0.0028
1,98.8515,1.054790909,0.090909091,0.0028,1.6006984850594699,0.15,0.090909091,0.0028
2,98.69509850468849,1.1123489070340666,0.18679917373225371,0.0057534145452,1.6006984850594699,0.15,0.090909091,0.0028
3,98.53042342726152,1.1727867795080253,0.2879218017455642,0.008867991484895386,1.6006984850594699,0.15,0.090909091,0.0028
4,98.35709066029929,1.236218763425741,0.3945387818074562,0.012151794467517858,1.6006984850594699,0.15,0.090909091,0.0028
5,98.17470433881395,1.302760148313314,0.5069223058676344,0.015613207005109934,1.6006984850594699,0.15,0.090909091,0.0028
6,97.98285720023638,1.3725268176014216,0.625355046741823,0.01926093542038721,1.6006984850594699,0.15,0.090909091,0.0028
7,97.78113105147757,1.445634725909672,0.750130212103091,0.023104010509671192,1.6006984850594699,0.15,0.090909091,0.0028
8,97.56909735359746,1.5221993077067533,0.8815515509535735,0.027151787742218273,1.6006984850594699,0.15,0.090909091,0.0028
9,97.34631793492963,1.6023348129285524,1.0199333063380238,0.03141394580379718,1.6006984850594699,0.15,0.090909091,0.0028
10,97.1123458437233,1.686153565337686,1.1656001076590137,0.03590048327999713,1.6006984850594699,0.15,0.090909091,0.0028
11,96.86672635144926,1.7737651397175331,1.3188867955702719,0.040621713262942644,1.6006984850594699,0.15,0.090909091,0.0028
12,96.60899811784812,1.8652754544282528,1.4801381720694808,0.045588255654151734,1.6006984850594699,0.15,0.090909091,0.0028
13,96.33869452854893,1.9607857764283603,1.6497086680961652,0.050811026926550845,1.6006984850594699,0.15,0.090909091,0.0028
14,96.05534521562204,2.0603916366004125,1.8279619206769966,0.05630122710055025,1.6006984850594699,0.15,0.090909091,0.0028
15,95.7584777707225,2.164181654130135,2.0152702514643424,0.062070323683031406,1.6006984850594699,0.15,0.090909091,0.0028
16,95.44761965949425,2.272236269790963,2.212014038400189,0.06813003231459579,1.6006984850594699,0.15,0.090909091,0.0028
17,95.12230034461098,2.3846263892948945,2.4185809722241163,0.07449229387001048,1.6006984850594699,0.15,0.090909091,0.0028
18,94.78205362319268,2.501411939397749,2.6353651896495274,0.08116924776003619,1.6006984850594699,0.15,0.090909091,0.0028
19,94.42642018233214,2.6226403412007766,2.862766275276724,0.08817320119034988,1.6006984850594699,0.15,0.090909091,0.0028
20,94.05495037406409,2.7483449070749613,3.1011881247152164,0.09551659414571205,1.6006984850594699,0.15,0.090909091,0.0028
21,93.66720720829547,2.878543169847108,3.3510376619718807,0.10321195988552194,1.6006984850594699,0.15,0.090909091,0.0028
22,93.26276955897333,3.013235155318616,3.61272340494694,0.11127188076109384,1.6006984850594699,0.15,0.090909091,0.0028
23,92.84123557509712,3.1524016118206806,3.886653873886199,0.11970893919598596,1.6006984850594699,0.15,0.090909091,0.0028
24,92.40222628409158,3.2960022133155693,4.173235838883752,0.12853566370908387,1.6006984850594699,0.15,0.090909091,0.0028
25,91.94538937057011,3.443973755493257,4.472872404030259,0.13776446990636745,1.6006984850594699,0.15,0.090909091,0.0028
26,91.47040310867384,3.596228367334406,4.785960927570007,0.14740759642174858,1.6006984850594699,0.15,0.090909091,0.0028
27,90.97698042102745,3.7526517636494736,5.112890779472791,0.1574770358502849,1.6006984850594699,0.15,0.090909091,0.0028
28,90.46487303198474,3.913101567081043,5.4540409401457115,0.16798446078850343,1.6006984850594699,0.15,0.090909091,0.0028
29,89.93387567734386,4.0774057308800735,5.809777446599725,0.17894114517633036,1.6006984850594699,0.15,0.090909091,0.0028
30,89.38383032721327,4.245361096331698,6.1804506952322225,0.19035788122279457,1.6006984850594699,0.15,0.090909091,0.0028
31,88.81463037334488,4.416732120896088,6.5663926134665,0.20224489229252332,1.6006984850594699,0.15,0.090909091,0.0028
32,88.22622472718169,4.591249814819612,6.967913715767666,0.21461174223103235,1.6006984850594699,0.15,0.090909091,0.0028
33,87.61862177027032,4.768610925030307,7.385300062986835,0.22746724171252727,1.6006984850594699,0.15,0.090909091,0.0028
