t,S,I,R,R0,beta, gamma
0,99,1,0,5.4999999945,0.5,0.090909091
1,98.505,1.404090909,0.090909091,5.4999999945,0.5,0.090909091
2,97.81345012504477,1.9679961557366712,0.2185537192185537,5.4999999945,0.5,0.090909091
3,96.85096765591763,2.7515698832543,0.3974624608280689,5.4999999945,0.5,0.090909091
4,95.51850662708733,3.8338881951749713,0.6476051777376934,5.4999999945,0.5,0.090909091
5,93.68747025219567,5.316389279247646,0.9961404685566806,5.4999999945,0.5,0.090909091
6,91.19707493995264,7.323476474712127,1.4794485853352293,5.4999999945,0.5,0.090909091
7,87.85767677552613,9.997104049862674,2.145219174611193,5.4999999945,0.5,0.090909091
8,83.46606509400544,13.47988808957793,3.0540468164166272,5.4999999945,0.5,0.090909091
9,77.84049901028234,17.880009800295774,4.279491189421884,5.4999999945,0.5,0.090909091
10,70.88155458446353,23.2134987880986,5.904946627437864,5.4999999945,0.5,0.090909091
11,62.654510177238585,29.3302251215679,8.015264701193509,5.4999999945,0.5,0.090909091
12,53.46615573533871,35.85219545884067,10.681648805820611,5.4999999945,0.5,0.090909091
13,43.88176040605782,42.17730028860403,13.940939305338144,5.4999999945,0.5,0.090909091
14,34.627689476863445,47.59707118772738,17.775239335409175,5.4999999945,0.5,0.090909091
15,26.386806471379508,51.510947717272735,22.10224581134776,5.4999999945,0.5,0.090909091
16,19.59075942851439,53.62418132661207,26.78505924487355,5.4999999945,0.5,0.090909091
17,14.338067248910935,54.00194792619404,31.659984824895027,5.4999999945,0.5,0.090909091
18,10.466649444221153,52.96409773268419,36.569252823094665,5.4999999945,0.5,0.090909091
19,7.694866223733784,50.920962972658074,41.38417080360814,5.4999999945,0.5,0.090909091
20,5.735716233442258,48.2509345062606,46.01334926029715,5.4999999945,0.5,0.090909091
21,4.351947891810667,45.24825425202751,50.39979785616183,5.4999999945,0.5,0.090909091
22,3.3673576683095465,42.11936681213992,54.51327551955054,5.4999999945,0.5,0.090909091
23,2.658202804213537,38.99948832584872,58.342308869937746,5.4999999945,0.5,0.090909091
24,2.139860058060216,35.97242303883402,61.88771690310576,5.4999999945,0.5,0.090909091
25,1.7549803017979857,33.0870825155684,65.15793718263362,5.4999999945,0.5,0.090909091
26,1.4646444115040502,30.369501810530018,68.16585377796594,5.4999999945,0.5,0.090909091
27,1.2422418059692757,27.831040612346655,70.92671758168407,5.4999999945,0.5,0.090909091
28,1.069377395207847,25.473810419455567,73.45681218533659,5.4999999945,0.5,0.090909091
29,0.9331718100459674,23.29421505507841,75.77261313487563,5.4999999945,0.5,0.090909091
30,0.8244842859132296,21.285246662995455,77.89026905109132,5.4999999945,0.5,0.090909091
31,0.7367375289360958,19.43797099412889,79.82529147693502,5.4999999945,0.5,0.090909091
32,0.6651341153473657,17.742486133756998,81.59237975089565,5.4999999945,0.5,0.090909091
33,0.6061284512541688,16.18853851135024,83.2053330373956,5.4999999945,0.5,0.090909091
34,0.5570667823744029,14.765914859544663,84.67701835808094,5.4999999945,0.5,0.090909091
35,0.5159387789762983,13.46468696527817,86.01937425574555,5.4999999945,0.5,0.090909091
36,0.48120400821547976,12.275359283426003,87.24343670835853,5.4999999945,0.5,0.090909091
37,0.45166924776813133,11.188952289718681,88.3593784625132,5.4999999945,0.5,0.090909091
38,0.4264007194480776,10.19704333613804,89.3765559444139,5.4999999945,0.5,0.090909091
39,0.4046605863742152,9.291779528635987,90.30355988498981,5.4999999945,0.5,0.090909091
40,0.3858605016116264,8.465872382677869,91.14826711571051,5.4999999945,0.5,0.090909091
41,0.3695272727908259,7.71258084866742,91.91789187854175,5.4999999945,0.5,0.090909091
42,0.3552772279548918,7.02568717928699,92.61903559275811,5.4999999945,0.5,0.090909091
43,0.3427968946272153,6.399468677495332,93.25773442787744,5.4999999945,0.5,0.090909091
44,0.33182830467766766,5.828667387090807,93.83950430823151,5.4999999945,0.5,0.090909091
45,0.3221577205897259,5.308459117276978,94.36938316213327,5.4999999945,0.5,0.090909091
46,0.3136069151443974,4.834422729759995,94.85197035509559,5.4999999945,0.5,0.090909091
47,0.3060263731504775,4.402510295881695,95.2914633309678,5.4999999945,0.5,0.090909091
48,0.29928995185744595,4.00901850805798,95.69169154008455,5.4999999945,0.5,0.090909091
49,0.29329065707608454,3.6505615744696143,96.05614776845428,5.4999999945,0.5,0.090909091
50,0.28793727906172006,3.324045718109417,96.38801700282885,5.4999999945,0.5,0.090909091
51,0.28315169566397413,3.0266453268313938,96.69020297750461,5.4999999945,0.5,0.090909091
52,0.2788666968816454,2.7557807501720823,96.96535255294626,5.4999999945,0.5,0.090909091
53,0.2750242195059928,2.509097704554293,97.2158780759397,5.4999999945,0.5,0.090909091
54,0.2715739063166962,2.284448226192372,97.44397786749091,5.4999999945,0.5,0.090909091
55,0.26847192367386963,2.0798730971554877,97.65165497917063,5.4999999945,0.5,0.090909091
56,0.26567998601691534,1.893585662154682,97.84073435182839,5.4999999945,0.5,0.090909091
57,0.2631645469556999,1.7239569499387821,98.0128785031055,5.4999999945,0.5,0.090909091
58,0.2608961252071911,1.569502012445224,98.16960186234756,5.4999999945,0.5,0.090909091
59,0.25884874023943183,1.4288673961389171,98.31228386362163,5.4999999945,0.5,0.090909091
60,0.25699943761213306,1.30081966262369,98.44218089976415,5.4999999945,0.5,0.090909091
61,0.2553278880034876,1.1842348791482893,98.5604372328482,5.4999999945,0.5,0.090909091
62,0.25381604705052263,1.0780890037073885,98.66809494924206,5.4999999945,0.5,0.090909091
63,0.2524478656040744,0.9814490938097024,98.7661030405862,5.4999999945,0.5,0.090909091
64,0.25120904195941784,0.8934652724733452,98.85532568556721,5.4999999945,0.5,0.090909091
65,0.25008680918380766,0.8133633894883363,98.93654980132783,5.4999999945,0.5,0.090909091
66,0.24906975190988734,0.7404383203711931,99.01049192771889,5.4999999945,0.5,0.090909091
67,0.2481476479660902,0.6740478496684783,99.0778045023654,5.4999999945,0.5,0.090909091
68,0.24731133102353103,0.6136070893071714,99.13908157966927,5.4999999945,0.5,0.090909091
69,0.2465525710936209,0.5585833865170108,99.19486404238934,5.4999999945,0.5,0.090909091
70,0.24586397024304113,0.5084916794516274,99.2456443503053,5.4999999945,0.5,0.090909091
71,0.24523887132731348,0.46289026200734423,99.2918708666653,5.4999999945,0.5,0.090909091
72,0.24467127790029805,0.4213769224825202,99.33395179961714,5.4999999945,0.5,0.090909091
73,0.24415578374979058,0.3835854236417643,99.3722587926084,5.4999999945,0.5,0.090909091
74,0.24368751075106931,0.34918229445636284,99.40713019479253,5.4999999945,0.5,0.090909091
75,0.24326205393039724,0.3178639062947126,99.43887403977484,5.4999999945,0.5,0.090909091
76,0.24287543279681928,0.28935380864532906,99.4677707585578,5.4999999945,0.5,0.090909091
77,0.24252404813928857,0.26340030158152494,99.49407565027914,5.4999999945,0.5,0.090909091
78,0.24220464360218527,0.23977422413272595,99.51802113226505,5.4999999945,0.5,0.090909091
79,0.24191427144967997,0.21826693952409487,99.53981878902619,5.4999999945,0.5,0.090909091
80,0.24165026201139736,0.19868849989489004,99.55966123809367,5.4999999945,0.5,0.090909091
81,0.2414101963711061,0.18086597461758325,99.57772382901126,5.4999999945,0.5,0.090909091
82,0.2411918819188597,0.16464192772451608,99.59416619035657,5.4999999945,0.5,0.090909091
83,0.24099333043690657,0.14987303121654574,99.60913363834649,5.4999999945,0.5,0.090909091
84,0.24081273843222883,0.1364288021879127,99.62275845937981,5.4999999945,0.5,0.090909091
85,0.24064846946494933,0.12419045276207025,99.63516107777293,5.4999999945,0.5,0.090909091
86,0.24049903825305258,0.11304984280248875,99.64645111894441,5.4999999945,0.5,0.090909091
87,0.2403630963607093,0.1029085262479649,99.65672837739127,5.4999999945,0.5,0.090909091
88,0.2402394193006549,0.09367688273066715,99.66608369796863,5.4999999945,0.5,0.090909091
89,0.24012689490110933,0.08527332687345417,99.67459977822539,5.4999999945,0.5,0.090909091
90,0.24002451280510928,0.07762358833684263,99.682351898858,5.4999999945,0.5,0.090909091
91,0.2399313549852456,0.07066005630084574,99.68940858871386,5.4999999945,0.5,0.090909091
92,0.2398465871699876,0.06432118262778501,99.69583223020219,5.4999999945,0.5,0.090909091
93,0.23976945108930756,0.05855093846372814,99.70167961044692,5.4999999945,0.5,0.090909091
94,0.23969925745742648,0.05329831950267474,99.70700242303985,5.4999999945,0.5,0.090909091
95,0.2396353796193839,0.048516895562901605,99.71184772481767,5.4999999945,0.5,0.090909091
96,0.23957724779595305,0.044164400512567134,99.71625835169144,5.4999999945,0.5,0.090909091
97,0.23952434386832624,0.040202358935036514,99.7202732971966,5.4999999945,0.5,0.090909091
98,0.23947619665009687,0.03659574624642598,99.72392805710344,5.4999999945,0.5,0.090909091
99,0.23943237759947353,0.03331267927132006,99.72725494312917,5.4999999945,0.5,0.090909091
100,0.23939249692946282,0.030324134550000516,99.7302833685205,5.4999999945,0.5,0.090909091
101,0.23935620007802708,0.027603691894134023,99.73304010802781,5.4999999945,0.5,0.090909091
102,0.23932316450402755,0.025127300929793754,99.73554953456615,5.4999999945,0.5,0.090909091
103,0.23929309677815774,0.022873068568852566,99.73783383465296,5.4999999945,0.5,0.090909091
104,0.23926572994110445,0.02082106553393081,99.73991320452494,5.4999999945,0.5,0.090909091
105,0.2392408211038888,0.018953150229805368,99.74180602866628,5.4999999945,0.5,0.090909091
106,0.23921814926777138,0.01725280840694474,99.74352904232525,5.4999999945,0.5,0.090909091
107,0.23919751334328748,0.01570500720195614,99.74509747945473,5.4999999945,0.5,0.090909091
108,0.23917873034993875,0.014296062266426584,99.74652520738361,5.4999999945,0.5,0.090909091
109,0.23916163377982932,0.013013516811015782,99.74782484940913,5.4999999945,0.5,0.090909091
110,0.2391460721101206,0.011846031496721837,99.74900789639312,5.4999999945,0.5,0.090909091
111,0.23913190745060792,0.010783284200910154,99.75008480834845,5.4999999945,0.5,0.090909091
112,0.2391190143140102,0.009815878772808479,99.75106510691315,5.4999999945,0.5,0.090909091
113,0.2391072784977263,0.008935261972490163,99.75195745952975,5.4999999945,0.5,0.090909091
114,0.2390965960668618,0.008133647859588746,99.75276975607352,5.4999999945,0.5,0.090909091
115,0.23908687242927762,0.007403948963743609,99.75350917860695,5.4999999945,0.5,0.090909091
116,0.2390780214942708,0.006739713628646123,99.75418226487704,5.4999999945,0.5,0.090909091
117,0.23906996490727192,0.006135068976064466,99.75479496611662,5.4999999945,0.5,0.090909091
118,0.23906263135364786,0.005584668985852201,99.75535269966046,5.4999999945,0.5,0.090909091
119,0.23905595592533288,0.005083647233127471,99.7558603968415,5.4999999945,0.5,0.090909091
120,0.23904987954458837,0.004627573864943699,99.75632254659043,5.4999999945,0.5,0.090909091
121,0.23904434843971337,0.004212416436221303,99.75674323512402,5.4999999945,0.5,0.090909091
122,0.2390393136680016,0.0038345042588027313,99.75712618207315,5.4999999945,0.5,0.090909091
123,0.2390347306816702,0.0034904959485307523,99.75747477336975,5.4999999945,0.5,0.090909091
124,0.23903055893287517,0.0031773498835056513,99.75779209118357,5.4999999945,0.5,0.090909091
125,0.23902676151428226,0.0028922973124000948,99.75808094117328,5.4999999945,0.5,0.090909091
126,0.23902330483198267,0.0026328178751276565,99.75834387729284,5.4999999945,0.5,0.090909091
127,0.239020158307835,0.0023966173194789183,99.75858322437264,5.4999999945,0.5,0.090909091
128,0.23901729410857947,0.002181607216745759,99.75880109867464,5.4999999945,0.5,0.090909091
129,0.23901468689931069,0.0019858864970211335,99.75899942660364,5.4999999945,0.5,0.090909091
130,0.23901231361911418,0.0018077246409442835,99.75917996173992,5.4999999945,0.5,0.090909091
131,0.23901015327687009,0.0016455463793018292,99.7593443003438,5.4999999945,0.5,0.090909091
132,0.2390081867654084,0.0014979177652228643,99.75949389546933,5.4999999945,0.5,0.090909091
133,0.23900639669236343,0.0013635334958386504,99.75963006981176,5.4999999945,0.5,0.090909091
134,0.23900476722622538,0.0012412053713219552,99.75975402740242,5.4999999945,0.5,0.090909091
135,0.2390032839562211,0.0011298517892750226,99.75986686425448,5.4999999945,0.5,0.090909091
136,0.23900193376478102,0.0010284881815874095,99.7599695780536,5.4999999945,0.5,0.090909091
137,0.23900070471145976,0.0009362183092163233,99.76006307697929,5.4999999945,0.5,0.090909091
