t,S,I,R,R0,beta, gamma
0,99,1,0,5.4999999945,0.5,0.090909091
1,98.505,1.404090909,0.090909091,5.4999999945,0.487654956,0.090909091
2,97.8305245523138,1.9509217284676377,0.2185537192185537,5.364204510635795,0.475614712,0.090909091
3,96.92276775859062,2.6813220012436734,0.3959102401656955,5.231761826768238,0.463871743,0.090909091
4,95.71725254015449,3.6430806738684374,0.6396667859770587,5.102589167897411,0.452418709,0.090909091
5,94.13964283667922,4.889501224842663,0.9708559384781058,4.976605794023394,0.441248451,0.090909091
6,92.10859431251849,6.47604963720956,1.415356050271939,4.853732956146267,0.430353988,0.090909091
7,89.54153351094428,8.454378652994178,2.0040878360615397,4.733893863266107,0.41972851,0.090909091
8,86.36411301541307,10.863219270211879,2.7726677143750447,4.617013605382986,0.409365377,0.090909091
9,82.52347858278101,13.716288313655287,3.76023310356369,4.5030191424969805,0.399258109,0.090909091
10,78.0042128648647,16.988618729083274,5.007168406052015,4.391839194608162,0.389400392,0.090909091
11,72.8439418298024,20.604469878139028,6.55158829205855,4.283404307716595,0.379786062,0.090909091
12,67.14369178846003,24.431586292322905,8.42472191921705,4.177646677822353,0.37040911,0.090909091
13,61.067401108284685,28.286823670975117,10.645775220740186,4.074500205925499,0.361263677,0.090909091
14,54.826922210411674,31.955773141642496,13.217304647945816,3.9739004430261,0.352344045,0.090909091
15,48.65372527328713,35.22389979025811,16.12237493645475,3.8757844911242154,0.343644639,0.090909091
16,42.7644329920457,37.911019360092084,19.324547647862207,3.780091025219909,0.335160023,0.090909091
17,37.33067375223032,39.89832229099809,22.77100395677158,3.6867602493132394,0.326884893,0.090909091
18,32.46194799551183,41.139927835816906,26.398124168671252,3.5957338194042663,0.318814076,0.090909091
19,28.204242765987715,41.6576396219813,30.138117612030964,3.506954832493045,0.310942528,0.090909091
20,24.550910034489185,41.52391420223993,33.925175763270865,3.4203678045796324,0.30326533,0.090909091
21,21.459271986084758,40.840650955756736,37.700077058158485,3.3359186266640815,0.295777682,0.090909091
22,18.867044919317532,39.720091568287835,41.41286351239461,3.2535544987464453,0.288474905,0.090909091
23,16.705211812440428,38.271007256255125,45.02378093130442,3.173223951826776,0.281352434,0.090909091
24,14.9064545689741,36.590582018400895,48.50296341262498,3.094876770905123,0.274405818,0.090909091
25,13.409746867206053,34.76087316971517,51.82937996307875,3.0184639949815364,0.267630714,0.090909091
26,12.162227749654635,32.84831290504149,54.98945934530384,2.943937851056062,0.261022888,0.090909091
27,11.119418700352588,30.904911687262647,57.975669612384735,2.8712517651287484,0.25457821,0.090909091
28,10.24457429411662,28.970218664574293,60.78520704130906,2.80036030719964,0.248292652,0.090909091
29,9.507672596977493,27.073464116845738,63.41886328617674,2.731219169268781,0.242162284,0.090909091
30,8.884333237228866,25.235579463510803,65.8800872992603,2.663785121336215,0.236183276,0.090909091
31,8.354807268222443,23.47096184263119,68.17423088914633,2.598016033401984,0.23035189,0.090909091
32,7.903097894282538,21.78894741056181,70.30795469515562,2.5338707874661295,0.224664482,0.090909091
33,7.516225241999381,20.19500665990399,72.2887680980966,2.471309299528691,0.219117496,0.090909091
34,7.183626315349136,18.691695888363416,74.12467779628741,2.4102924535897077,0.213707466,0.090909091
35,6.89667241380685,17.279404707446147,75.82392287874697,2.350782123649218,0.20843101,0.090909091
36,6.648284358445125,15.956937787832821,77.39477785372202,2.292741107707259,0.20328483,0.090909091
37,6.4326270853468746,14.72196435149564,78.84540856315745,2.2361331277638667,0.19826571,0.090909091
38,6.244867660426705,13.571363379486936,80.18376896008633,2.180922807819077,0.193370512,0.090909091
39,6.0809835056635135,12.501487225790282,81.41752926854618,2.1270756298729245,0.188596177,0.090909091
40,5.937610169214921,11.508361722394168,82.55402810839088,2.0745579449254423,0.183939721,0.090909091
41,5.811920174468259,10.587837014058781,83.60024281147292,2.023336928976663,0.179398233,0.090909091
42,5.701526281401928,9.735700268520874,84.56277345007716,1.9733805610266193,0.174968875,0.090909091
43,5.604403944215719,8.947758944047393,85.44783711173685,1.9246576230753425,0.170648878,0.090909091
44,5.518828897922123,8.219901358250521,86.26126974382731,1.8771376561228625,0.166435542,0.090909091
45,5.443326697255571,7.548139798328853,87.00853350441554,1.830790960169209,0.162326234,0.090909091
46,5.3766317322979935,6.928640235479431,87.69472803222254,1.7855885722144116,0.158318385,0.090909091
47,5.317653784955838,6.357741797148126,88.324604417896,1.741502233258498,0.15440949,0.090909091
48,5.265450608085795,5.8319684464267265,88.90258094548744,1.6985043883014959,0.150597106,0.090909091
49,5.219205336418953,5.348034767888232,89.43275989569278,1.656568164343432,0.14687885,0.090909091
50,5.178207789750649,4.902847335171421,89.9189448750779,1.6156673483843327,0.143252398,0.090909091
