t,S,I,R,R0,beta, gamma
0,99,1,0,5.4999999945,0.5,0.090909091
1,98.505,1.404090909,0.090909091,5.4999999945,0.5,0.090909091
2,97.81345012504477,1.9679961557366712,0.2185537192185537,5.4999999945,0.5,0.090909091
3,96.85096765591763,2.7515698832543,0.3974624608280689,5.4999999945,0.5,0.090909091
4,95.51850662708733,3.8338881951749713,0.6476051777376934,5.4999999945,0.5,0.090909091
5,93.68747025219567,5.316389279247646,0.9961404685566806,5.4999999945,0.5,0.090909091
6,91.19707493995264,7.323476474712127,1.4794485853352293,5.4999999945,0.5,0.090909091
7,87.85767677552613,9.997104049862674,2.145219174611193,5.4999999945,0.5,0.090909091
8,83.46606509400544,13.47988808957793,3.0540468164166272,5.4999999945,0.5,0.090909091
9,77.84049901028234,17.880009800295774,4.279491189421884,5.4999999945,0.5,0.090909091
10,70.88155458446353,23.2134987880986,5.904946627437864,5.4999999945,0.5,0.090909091
11,62.654510177238585,29.3302251215679,8.015264701193509,5.4999999945,0.5,0.090909091
12,53.46615573533871,35.85219545884067,10.681648805820611,5.4999999945,0.5,0.090909091
13,43.88176040605782,42.17730028860403,13.940939305338144,5.4999999945,0.5,0.090909091
14,34.627689476863445,47.59707118772738,17.775239335409175,5.4999999945,0.5,0.090909091
15,26.386806471379508,51.510947717272735,22.10224581134776,5.4999999945,0.4,0.090909091
16,20.94996883708741,52.26497191803904,26.78505924487355,4.3999999956,0.4,0.090909091
17,16.570170705270744,51.89340896164625,31.536420333083008,4.3999999956,0.4,0.090909091
18,13.130640125379124,50.61535690394336,36.25400297067752,4.3999999956,0.4,0.090909091
19,10.472191980085908,48.672408962458505,40.855399057455585,4.3999999956,0.4,0.090909091
20,8.43336473693343,46.28647175005363,45.280163513012944,4.3999999956,0.4,0.090909091
21,6.87196194231756,43.640013472274944,49.4880245854075,4.3999999956,0.4,0.090909091
22,5.672391895342764,40.872309563257474,53.45529854139977,4.3999999956,0.4,0.090909091
23,4.7450168653005145,38.08402008383338,57.17096305086611,4.3999999956,0.4,0.090909091
24,4.022179594915583,35.344673706771275,60.63314669831315,4.3999999956,0.4,0.090909091
25,3.453529093426284,32.7001720498864,63.846298856687326,4.3999999956,0.5,0.090909091
26,2.888874115754646,30.29208411095926,66.8190417732861,5.4999999945,0.5,0.090909091
27,2.451324027252582,27.97580836843847,69.57286760430895,5.4999999945,0.5,0.090909091
28,2.1084351710757465,25.775441915850372,72.1161229130739,5.4999999945,0.5,0.090909091
29,1.8367059296487518,23.70394916258411,74.45934490776715,5.4999999945,0.5,0.090909091
30,1.6190200097336978,21.76673061101843,76.61424937924788,5.4999999945,0.5,0.090909091
31,1.4428161477050887,19.964140779157482,78.59304307313744,5.4999999945,0.5,0.090909091
32,1.2987932242489584,18.293241811784373,80.40796496396668,5.4999999945,0.5,0.090909091
33,1.179997531675492,16.74901551980533,82.07098694851919,5.4999999945,0.5,0.090909091
34,1.081178546818668,15.325196728611758,83.59362472456958,5.4999999945,0.5,0.090909091
35,0.9983321771749147,14.014843394261243,84.98682442856385,5.4999999945,0.5,0.090909091
36,0.9283748315821232,12.81072406637439,86.26090110204349,5.4999999945,0.5,0.090909091
37,0.8689090625942963,11.705578555436299,87.42551238196941,5.4999999945,0.5,0.090909091
38,0.8180536461456561,10.692290465781133,88.48965588807322,5.4999999945,0.5,0.090909091
39,0.7743193101397526,9.763998394834907,89.46168229502534,5.4999999945,0.5,0.090909091
40,0.7365170476332815,8.914164438741478,90.34931851362524,5.4999999945,0.5,0.090909091
41,0.7036898772605842,8.136613022963662,91.15969709977574,5.4999999945,0.5,0.090909091
42,0.6750616161633534,7.425549190324504,91.89938919351214,5.4999999945,0.5,0.090909091
43,0.6499980999767486,6.775562779442922,92.57443912058032,5.4999999945,0.5,0.090909091
44,0.6279775853121933,6.181623040814888,93.1903993738729,5.4999999945,0.5,0.090909091
45,0.6085679817597875,5.639066912822156,93.75236510541805,5.4999999945,0.5,0.090909091
46,0.5914092039090647,5.143583243540041,94.26500755255088,5.4999999945,0.5,0.090909091
47,0.5761993915525546,4.691194578743494,94.73260602970394,5.4999999945,0.5,0.090909091
48,0.5626840742429214,4.278237661195429,95.15907826456164,5.4999999945,0.5,0.090909091
49,0.5506475932540167,3.901343445323091,95.54800896142288,5.4999999945,0.5,0.090909091
50,0.5399062663608942,3.557417185923083,95.90267654771601,5.4999999945,0.5,0.090909091
51,0.5303029072071952,3.243618982396737,96.22607811039606,5.4999999945,0.5,0.090909091
52,0.521702404326008,2.9573450320378916,96.52095256363609,5.4999999945,0.5,0.090909091
53,0.5139881342578293,2.6962097534701397,96.78980211227201,5.4999999945,0.5,0.090909091
54,0.5070590351540599,2.4580288747406045,97.03491209010532,5.4999999945,0.5,0.090909091
55,0.500827206406026,2.2408035328342173,97.25836926075975,5.4999999945,0.5,0.090909091
56,0.4952159295387554,2.0427053974219405,97.4620786730393,5.4999999945,0.5,0.090909091
57,0.4901580282779647,1.862062807822309,97.64777916389973,5.4999999945,0.5,0.090909091
58,0.48559450310590513,1.6973478957503347,97.81705760114376,5.4999999945,0.5,0.090909091
59,0.48147338906573145,1.5471646554770828,97.97136195545718,5.4999999945,0.5,0.090909091
60,0.47774879601515513,1.4102379160709093,98.11201328791394,5.4999999945,0.5,0.090909091
61,0.4743800986826661,1.2854031663596577,98.24021673495768,5.4999999945,0.5,0.090909091
62,0.4713312502781426,1.171597181341903,98.35707156837996,5.4999999945,0.5,0.090909091
63,0.46857019845662146,1.0678493983894697,98.46358040315391,5.4999999945,0.5,0.090909091
64,0.4660683864339958,0.9732739922796119,98.5606576212864,5.4999999945,0.5,0.090909091
65,0.4638003252382961,0.887062599543231,98.64913707521848,5.4999999945,0.5,0.090909091
66,0.4617432256274217,0.8084776445695332,98.72977912980305,5.4999999945,0.5,0.090909091
67,0.4598766802501657,0.7368462221851518,98.80327709756469,5.4999999945,0.5,0.090909091
68,0.4581823882775988,0.6715544938920825,98.87026311783032,5.4999999945,0.5,0.090909091
69,0.4566439160682486,0.6120425575047385,98.93131352642702,5.4999999945,0.5,0.090909091
70,0.45524648851695165,0.5577997524999644,98.98695375898309,5.4999999945,0.5,0.090909091
71,0.4539768066238455,0.5083603659332738,99.03766282744289,5.4999999945,0.5,0.090909091
72,0.4528228875461429,0.4632997062435551,99.0838774062103,5.4999999945,0.5,0.090909091
73,0.4517739239922405,0.4222305146422889,99.12599556136547,5.4999999945,0.5,0.090909091
74,0.4508201603100944,0.38479968604584225,99.16438015364406,5.4999999945,0.5,0.090909091
75,0.4499527830293421,0.35068527365108165,99.19936194331957,5.4999999945,0.5,0.090909091
76,0.44916382395510857,0.3195937532706091,99.23124242277427,5.4999999945,0.5,0.090909091
77,0.4484460741934526,0.29125752543315575,99.26029640037338,5.4999999945,0.5,0.090909091
78,0.44779300772415365,0.2654326350184172,99.28677435725741,5.4999999945,0.5,0.090909091
79,0.44719871333423844,0.24189668983707333,99.31090459682868,5.4999999945,0.5,0.090909091
80,0.4466578338919637,0.2204469610903508,99.33289520501768,5.4999999945,0.5,0.090909091
81,0.44616551208132027,0.20089865005455806,99.35293583786411,5.4999999945,0.5,0.090909091
82,0.4457173418359301,0.18308330664036127,99.3711993515237,5.4999999945,0.5,0.090909091
83,0.44530932481207874,0.16684738668026314,99.38784328850765,5.4999999945,0.5,0.090909091
84,0.44493783132653253,0.15205093590698116,99.40301123276649,5.4999999945,0.5,0.090909091
85,0.4445995652581644,0.13856638960634635,99.41683404513549,5.4999999945,0.5,0.090909091
86,0.44429153247527253,0.12627747786697344,99.42943098965775,5.4999999945,0.5,0.090909091
87,0.4440110124044794,0.11507822721110741,99.44091076038441,5.4999999945,0.5,0.090909091
88,0.4437555324036308,0.10487205018230275,99.45137241741406,5.4999999945,0.5,0.090909091
89,0.44352284464131625,0.09557091519123777,99.46090624016745,5.4999999945,0.5,0.090909091
90,0.4433109052204633,0.08709458958601721,99.46959450519353,5.4999999945,0.5,0.090909091
91,0.4431178553137174,0.07936994952248022,99.47751219516381,5.4999999945,0.5,0.090909091
92,0.4429420041046736,0.07233035076771946,99.48472764512762,5.4999999945,0.5,0.090909091
93,0.44278181335204037,0.06591505508034817,99.49130313156762,5.4999999945,0.5,0.090909091
94,0.442635883413962,0.06006870727785717,99.4972954093082,5.4999999945,0.5,0.090909091
95,0.44250294058740464,0.054740858528239435,99.50275620088436,5.4999999945,0.5,0.090909091
96,0.4423818256330595,0.049885531793222714,99.50773264257373,5.4999999945,0.5,0.090909091
97,0.44227148336992267,0.04546082570698605,99.5122676909231,5.4999999945,0.5,0.090909091
98,0.4421709532358194,0.04142855349995776,99.51640049326423,5.4999999945,0.5,0.090909091
99,0.4420793607208581,0.03775391387479302,99.52016672540435,5.4999999945,0.5,0.090909091
100,0.4419959095903057,0.03440519101329569,99.5235988993964,5.4999999945,0.5,0.090909091
101,0.441919874821823,0.03135348114107836,99.5267266440371,5.4999999945,0.5,0.090909091
102,0.4418505961895175,0.02857244330316275,99.52957696050731,5.4999999945,0.5,0.090909091
103,0.44178747243397704,0.026038072210363656,99.53217445535566,5.4999999945,0.5,0.090909091
104,0.4417299559634327,0.023728491204871485,99.5345415528317,5.4999999945,0.5,0.090909091
105,0.4416775480365576,0.021623763565510157,99.53669868839793,5.4999999945,0.5,0.090909091
106,0.44162979438220296,0.019705720530125394,99.53866448508768,5.4999999945,0.5,0.090909091
107,0.4415862812156736,0.017957804555761018,99.54045591422857,5.4999999945,0.5,0.090909091
108,0.44154663161501073,0.016364926467904006,99.54208844191709,5.4999999945,0.5,0.090909091
109,0.44151050222421806,0.014913335269217664,99.54357616250657,5.4999999945,0.5,0.090909091
110,0.4414775802534953,0.013590499486837597,99.54493192025967,5.4999999945,0.5,0.090909091
111,0.4414475807493559,0.012384999036392652,99.54616742021426,5.4999999945,0.5,0.090909091
112,0.44142024411004493,0.011286426671269313,99.54729332921869,5.4999999945,0.5,0.090909091
113,0.4413953338239631,0.010285298168027873,99.54831936800801,5.4999999945,0.5,0.090909091
114,0.4413726344108713,0.009372970474000273,99.54925439511513,5.4999999945,0.5,0.090909091
115,0.4413519495475195,0.008541567111590893,99.55010648334088,5.4999999945,0.5,0.090909091
116,0.441333100361035,0.007783910196245128,99.55088298944271,5.4999999945,0.5,0.090909091
117,0.4413159238749358,0.007093458481978055,99.55159061764307,5.4999999945,0.5,0.090909091
118,0.4413002715940186,0.006464250900252403,99.55223547750572,5.4999999945,0.5,0.090909091
119,0.4412860082156289,0.005890855105304192,99.55282313667905,5.4999999945,0.5,0.090909091
120,0.4412730104559569,0.005368320582140261,99.55335866896189,5.4999999945,0.5,0.090909091
121,0.44126116598103504,0.004892135912743167,99.55384669810621,5.4999999945,0.5,0.090909091
122,0.44125037243305004,0.004458189831852205,99.55429143773509,5.4999999945,0.5,0.090909091
123,0.44124053654343165,0.004062735736351488,99.55469672772021,5.4999999945,0.5,0.090909091
124,0.44123157332495094,0.0037023593420672683,99.55506606733297,5.4999999945,0.5,0.090909091
125,0.4412234053357634,0.003373949208912148,99.55540264545532,5.4999999945,0.5,0.090909091
126,0.44121596200896646,0.0030746698800467064,99.55570936811098,5.4999999945,0.5,0.090909091
127,0.44120917904182155,0.0028019374032715056,99.5559888835549,5.4999999945,0.5,0.090909091
128,0.44120299783931444,0.0025533970234083124,99.55624360513727,5.4999999945,0.5,0.090909091
129,0.4411973650072074,0.0023269028531551655,99.55647573213963,5.4999999945,0.5,0.090909091
130,0.4411922318901702,0.002120499346966722,99.55668726876286,5.4999999945,0.5,0.090909091
131,0.44118755415097216,0.0019324044180659332,99.55688004143096,5.4999999945,0.5,0.090909091
132,0.44118329138707796,0.0017609940528693605,99.55705571456005,5.4999999945,0.5,0.090909091
133,0.4411794067813162,0.0016047882900283908,99.55721580492866,5.4999999945,0.5,0.090909091
134,0.44117586678358717,0.001462438443063487,99.55736169477335,5.4999999945,0.5,0.090909091
135,0.4411726408208485,0.001332715456299811,99.55749464372285,5.4999999945,0.5,0.090909091
136,0.4411697010328619,0.0012144992935925378,99.55761579967354,5.4999999945,0.5,0.090909091
137,0.4411670220314106,0.0011067692682431923,99.55772620870034,5.4999999945,0.5,0.090909091
138,0.44116458068089986,0.0010085952306312022,99.55782682408847,5.4999999945,0.5,0.090909091
