t,S,I,R,R0,beta, gamma
0,99,1,0,1.64999999835,0.15,0.090909091
1,98.8515,1.057590909,0.090909091,1.64999999835,0.15,0.090909091
2,98.69468332838848,1.1182629524244665,0.1870537191870537,1.64999999835,0.15,0.090909091
3,98.52913341643738,1.1821525958716843,0.2887139876909382,1.64999999835,0.15,0.090909091
4,98.35441871018153,1.2493988842135426,0.39618240560492335,1.64999999835,0.15,0.090909091
5,98.17009285869058,1.3201430188442338,0.5097641224651908,1.64999999835,0.15,0.090909091
6,97.97569501457055,1.3945278611311445,0.6297771242983159,1.64999999835,0.15,0.090909091
7,97.77075025995329,1.4726973555187974,0.7565523845279225,1.64999999835,0.15,0.090909091
8,97.55477017192091,1.5547958656428627,0.8904339624362402,1.64999999835,0.15,0.090909091
9,97.32725354191534,1.6409674168122752,1.031779041272391,1.64999999835,0.15,0.090909091
10,97.08768726417017,1.7313548383344184,1.1809578974954131,1.64999999835,0.15,0.090909091
11,96.83554740853889,1.8260987994142643,1.3383537920468471,1.64999999835,0.15,0.090909091
12,96.57030049324385,1.9253367327783562,1.5043627739777892,1.64999999835,0.15,0.090909091
13,96.29140497299122,2.029201640785195,1.6793933862235795,1.64999999835,0.15,0.090909091
14,95.99831295754416,2.137820779612763,1.86386626284307,1.64999999835,0.15,0.090909091
15,95.69047217517155,2.251314218189866,2.0582136066385774,1.64999999835,0.15,0.090909091
16,95.36732819434165,2.369793269888748,2.2628785357695937,1.64999999835,0.15,0.090909091
17,95.02832691555832,2.4933587966485775,2.4783142877930975,1.64999999835,0.15,0.090909091
18,94.67291734328977,2.6220993871769576,2.7049832695332734,1.64999999835,0.15,0.090909091
19,94.30055464546763,2.7560894131991858,2.943355941333188,1.64999999835,0.15,0.090909091
20,93.91070350499186,2.8953869704063013,3.193909524601849,1.64999999835,0.15,0.090909091
21,93.5028417640268,3.0400317137984847,3.45712652217473,1.64999999835,0.15,0.090909091
22,93.07646435758741,3.1900426005252767,3.7334930418873222,1.64999999835,0.15,0.090909091
23,92.63108752797694,3.3454155570707123,4.023496914952351,1.64999999835,0.15,0.090909091
24,92.16625330605024,3.5061210916868646,4.327625602262908,1.64999999835,0.15,0.090909091
25,91.6815342390631,3.6721018772928296,4.646363883644089,1.64999999835,0.15,0.090909091
26,91.17653833807458,3.8432703345572703,4.980191327368173,1.64999999835,0.15,0.090909091
27,90.65091421057106,4.019506249478922,5.32957953995004,1.64999999835,0.15,0.090909091
28,90.1043563362855,4.200654464355526,5.694989199358988,1.64999999835,0.15,0.090909091
29,89.53661043623266,4.386522685448721,6.07686687831864,1.64999999835,0.15,0.090909091
30,88.94747887694759,4.576879454748778,6.475641668303662,1.64999999835,0.15,0.090909091
