t,S,I,R,R0,beta, gamma
0,99,1,0,1.64999999835,0.15,0.090909091
1,98.8515,1.057590909,0.090909091,1.64999999835,0.146296487,0.090909091
2,98.69855514560135,1.1143911352115998,0.1870537191870537,1.6092613553907387,0.142684414,0.090909091
3,98.54161827811485,1.1700197175775482,0.28836200430759834,1.5695285524304716,0.139161523,0.090909091
4,98.38117111456562,1.2241014521497369,0.39472743328465,1.5307767514692234,0.135725613,0.090909091
5,98.21771874798965,1.2762718684189929,0.5060093835913626,1.4929817415070183,0.132374535,0.090909091
6,98.0517839438888,1.3261819570930105,0.6220340990182048,1.45611988354388,0.129106196,0.090909091
7,97.88390133876598,1.373502565995894,0.7425960952381314,1.420168154579832,0.125918553,0.090909091
8,97.71461166422965,1.4179283707713664,0.8674599649989856,1.3851040816148958,0.122809613,0.090909091
9,97.54445609609068,1.4591813596203982,0.9963625442889215,1.3509057416490944,0.119777433,0.090909091
10,97.37397082446235,1.4970137802414947,1.129015395296156,1.3175517616824484,0.116820117,0.090909091
11,97.2036819341199,1.5312105086077152,1.265107557272384,1.2850212857149788,0.113935818,0.090909091
12,97.03410066101065,1.561590826249784,1.4043085127395591,1.253293996746706,0.111122733,0.090909091
13,96.86571909350624,1.5880095912258936,1.546271315267866,1.22235006177765,0.108379103,0.090909091
14,96.69900635701902,1.610357819275487,1.6906358237054935,1.19217013180783,0.105703213,0.090909091
15,96.534405312675,1.6285626980844201,1.8370319892405702,1.1627353418372648,0.103093392,0.090909091
16,96.3723297874131,1.6425870688269661,1.9850831437599323,1.1340273108659729,0.100548007,0.090909091
17,96.21316234994455,1.6524284089800851,2.134409241075346,1.106028075893972,0.098065468,0.090909091
18,96.05725260987808,1.6581173844436017,2.2846300056783018,1.07872014692128,0.095644223,0.090909091
19,95.90491603841407,1.6597160117165422,2.435367949869367,1.0520864519479136,0.093282758,0.090909091
20,95.75643327856164,1.6573154976256705,2.5862512238126634,1.0261103369738895,0.090979599,0.090909091
21,95.61204990967566,1.6510338211222906,2.736916269202026,1.0007755879992244,0.088733305,0.090909091
22,95.47197664299473,1.6410131039147389,2.88701025309051,0.9760663540239336,0.086542472,0.090909091
23,95.336389890298,1.6274168470155004,3.0361932626864876,0.9519671910480327,0.08440573,0.090909091
24,95.205432672383,1.6104270786902268,3.1841402489267527,0.928463029071537,0.082321745,0.090909091
25,95.07921581483514,1.590241474392567,3.3305427107722667,0.9055391940944608,0.080289214,0.090909091
26,94.95781939653962,1.5670704857805562,3.4751101176797947,0.8831813531168187,0.078306867,0.090909091
27,94.84129439625791,1.5411345326670278,3.6175710710750337,0.8613755361386245,0.076373463,0.090909091
28,94.72966450343216,1.5126612860193103,3.757674210548503,0.8401080921598919,0.074487796,0.090909091
29,94.62292803840096,1.4818830885476149,3.8951888730514095,0.8193657551806343,0.072648685,0.090909091
30,94.52105996740472,1.4490345149957147,4.029905517599546,0.7991355342008646,0.070854983,0.090909091
31,94.42401395130858,1.4143501205059772,4.161635928185432,0.7794048122205952,0.069105567,0.090909091
32,94.33172442333927,1.3780623646643515,4.290213211996371,0.7601612362398389,0.067399345,0.090909091
33,94.2441086453311,1.3403997457595809,4.415491608909318,0.7413927942586073,0.065735249,0.090909091
34,94.16106873713088,1.3015851314961642,4.537346131372953,0.7230877382769122,0.06411224,0.090909091
35,94.08249364320366,1.2618343042599476,4.655672052536384,0.7052346392947654,0.062529303,0.090909091
36,94.0082610320091,1.2213547058616219,4.770384262129274,0.6878223323121776,0.060985449,0.090909091
37,93.93823910557283,1.1803443861994394,4.881416508227726,0.67083993832916,0.059479713,0.090909091
38,93.87228831315082,1.1389911434051174,4.98872054344407,0.6542768423457231,0.058011154,0.090909091
39,93.810262958427,1.0974718486249164,5.09226519294808,0.6381226933618773,0.056578853,0.090909091
40,93.75201269668206,1.055951942213286,5.192035361104661,0.6223673823776327,0.055181916,0.090909091
41,93.69738391323045,1.0145850944586032,5.288030992310955,0.607001075392999,0.05381947,0.090909091
42,93.6462209888955,0.9735130101141812,5.380266000990336,0.5920141694079859,0.052490662,0.090909091
43,93.59836744935687,0.9328653668266477,5.46876718381649,0.5773972814226027,0.051194663,0.090909091
44,93.55366699554396,0.8927598781159604,5.553573126340082,0.5631412924368587,0.049930663,0.090909091
45,93.51196442630011,0.8533024583590152,5.634733115340874,0.5492372924507627,0.04869787,0.090909091
46,93.4731064532053,0.8145874806163323,5.712306066178358,0.5356765694643234,0.047495515,0.090909091
47,93.43694240758673,0.7766981188320936,5.786359473581169,0.5224506644775494,0.046322847,0.090909091
48,93.40332485329894,0.7397067531554384,5.856968393545604,0.5095513164904487,0.045179132,0.090909091
49,93.37211010751062,0.7036754304078376,5.924214462081527,0.49697045150302954,0.044063655,0.090909091
50,93.34315867354807,0.6686563706329686,5.988184955818937,0.4847002045152998,0.04297572,0.090909091
51,93.31633559377623,0.6346925075592151,6.04897189866454,0.4727329195272671,0.041914645,0.090909091
52,93.2915107319405,0.601818050468217,6.106671217591259,0.4610610945389389,0.040879769,0.090909091
53,93.26855898385575,0.5700590666375045,6.161381949506717,0.4496774585503226,0.039870444,0.090909091
54,93.24736043187883,0.5394340670501093,6.213205501071041,0.4385748835614251,0.038886039,0.090909091
55,93.22780044205382,0.5099545961851691,6.262244961761,0.42774642857225353,0.037925939,0.090909091
56,93.20976971286944,0.48162581657908465,6.308604470551465,0.41718532858281465,0.036989545,0.090909091
57,93.19316428071534,0.4544470835458595,6.352388635738802,0.406884994593115,0.036076269,0.090909091
58,93.17788548953831,0.4284125034501311,6.393702007011558,0.39683895860316104,0.035185543,0.090909091
59,93.16383992350771,0.40351147821905303,6.432648598273244,0.38704097261295906,0.034316809,0.090909091
60,93.15093931573826,0.3797292242955516,6.469331459966204,0.37748489862251505,0.033469524,0.090909091
61,93.13910043088366,0.3570472705433088,6.503852298573048,0.36816476363183526,0.032643159,0.090909091
62,93.12824492825338,0.33544393036446124,6.536311141382171,0.35907474864092526,0.031837196,0.090909091
63,93.11829920964855,0.31489474617838853,6.566806044173072,0.3502091556497908,0.031051133,0.090909091
64,93.10919425260325,0.2953729080879381,6.595432839308825,0.34156246265843754,0.030284478,0.090909091
65,93.1008654356101,0.27684964250078614,6.6222849218891255,0.33312925766687074,0.029536751,0.090909091
66,93.09325235537428,0.25929457339319334,6.647453071232547,0.32490426067509576,0.028807486,0.090909091
67,93.08629863871582,0.24267605608323972,6.6710253052009545,0.3168823456831177,0.028096227,0.090909091
68,93.07995175278161,0.22696148235145364,6.693086764866947,0.30905849669094154,0.027402529,0.090909091
69,93.0741628140275,0.2121175590529812,6.71371962691953,0.30142781869857216,0.026725958,0.090909091
70,93.06888639787812,0.19811056072372793,6.733003041398175,0.2939855377060145,0.026066092,0.090909091
71,93.06408035027165,0.1849065573373031,6.751013092391069,0.286727011713273,0.025422517,0.090909091
72,93.05970560319838,0.17247161736309613,6.767822779438543,0.2796476867203523,0.024794833,0.090909091
73,93.05572599334174,0.1607719892619625,6.783502017396322,0.27274316272725685,0.024182647,0.090909091
74,93.05210808696981,0.14977426023182294,6.798117652798389,0.2660091167339909,0.023585575,0.090909091
75,93.04882101004094,0.13944549530782402,6.8117334946512615,0.2594413247405587,0.023003245,0.090909091
76,93.04583628403972,0.12975335808656585,6.824410357873741,0.2530356947469643,0.022435293,0.090909091
77,93.0431276689365,0.1206662133519342,6.836206117711588,0.24678822275321177,0.021881364,0.090909091
78,93.04067101277556,0.11215321374264381,6.847175773481824,0.240695003759305,0.021341111,0.090909091
79,93.03844410833473,0.1041843714694066,6.857371520195897,0.2347522207652478,0.020814197,0.090909091
80,93.036426556619,0.09673061667843968,6.8668428267025865,0.22895616677104383,0.020300292,0.090909091
81,93.03459963774493,0.08976384311840753,6.875636519136693,0.22330321177669682,0.019799076,0.090909091
82,93.03294618855462,0.08325694292616362,6.883796868519254,0.21778983578221014,0.019310236,0.090909091
83,93.03145048744366,0.07718383103626078,6.89136568152011,0.21241259578758742,0.018833464,0.090909091
84,93.03009814608717,0.07151946047335671,6.8983823934395145,0.2071681037928319,0.018368464,0.090909091
85,93.02887600723648,0.06623983018360563,6.9048841625799575,0.20205310379794691,0.017914945,0.090909091
86,93.0277720494593,0.06132198521079419,6.910905965329944,0.19706439480293564,0.017472624,0.090909091
87,93.02677529782282,0.056744010913438316,6.916480691263772,0.19219886380780113,0.017041223,0.090909091
88,93.02587574067927,0.05248502160516281,6.921639237715607,0.18745345281254658,0.016620474,0.090909091
89,93.02506425183708,0.048525144842109014,6.926410603320848,0.1828252138171748,0.016210113,0.090909091
90,93.02433251846661,0.04484550140433929,6.930821980129088,0.17831124282168878,0.015809884,0.090909091
