t,S,I,R,R0,beta, gamma
0,99,1,0,1.64999999835,0.15,0.090909091
1,98.8515,1.057590909,0.090909091,1.64999999835,0.15,0.090909091
2,98.69468332838848,1.1182629524244665,0.1870537191870537,1.64999999835,0.15,0.090909091
3,98.52913341643738,1.1821525958716843,0.2887139876909382,1.64999999835,0.15,0.090909091
4,98.35441871018153,1.2493988842135426,0.39618240560492335,1.64999999835,0.15,0.090909091
5,98.17009285869058,1.3201430188442338,0.5097641224651908,1.64999999835,0.15,0.090909091
6,97.97569501457055,1.3945278611311445,0.6297771242983159,1.64999999835,0.15,0.090909091
7,97.77075025995329,1.4726973555187974,0.7565523845279225,1.64999999835,0.15,0.090909091
8,97.55477017192091,1.5547958656428627,0.8904339624362402,1.64999999835,0.15,0.090909091
9,97.32725354191534,1.6409674168122752,1.031779041272391,1.64999999835,0.15,0.090909091
10,97.08768726417017,1.7313548383344184,1.1809578974954131,1.64999999835,0.15,0.090909091
11,96.83554740853889,1.8260987994142643,1.3383537920468471,1.64999999835,0.15,0.090909091
12,96.57030049324385,1.9253367327783562,1.5043627739777892,1.64999999835,0.15,0.090909091
13,96.29140497299122,2.029201640785195,1.6793933862235795,1.64999999835,0.15,0.090909091
14,95.99831295754416,2.137820779612763,1.86386626284307,1.64999999835,0.15,0.090909091
15,95.69047217517155,2.251314218189866,2.0582136066385774,1.64999999835,0.25,0.142857143
16,95.15189887378838,2.4682712023671467,2.3798299238444605,1.74999999825,0.25,0.142857143
17,94.56474714418657,2.7028127598496083,2.7324400959638058,1.74999999825,0.25,0.142857143
18,93.92577013115343,2.9556736639466963,3.118556204899866,1.74999999825,0.25,0.142857143
19,93.23173531829703,3.227469381531333,3.540795300171633,1.74999999825,0.25,0.142857143
20,92.47947889047994,3.5186587543828822,4.001862355137177,1.74999999825,0.25,0.142857143
21,91.66596957048306,3.8295025375366905,4.504527891980254,1.74999999825,0.25,0.142857143
22,90.78838191279324,4.160018403602764,5.051599683603995,1.74999999825,0.25,0.142857143
23,89.8441785638169,4.5099334086129925,5.645888027570107,1.74999999825,0.25,0.142857143
24,88.83120040763103,4.878635362924162,6.290164229444811,1.74999999825,0.25,0.142857143
25,87.74776281853185,5.265125042337228,6.987112139130924,1.74999999825,0.25,0.142857143
26,86.59275545996955,5.667971679813476,7.739272860216975,1.74999999825,0.25,0.142857143
27,85.36574224590925,6.085274653090715,8.548983101000038,1.74999999825,0.25,0.142857143
28,84.06705727708098,6.514634670608126,9.418308052310895,1.74999999825,0.25,0.142857143
29,82.6978918620978,6.95313798885948,10.348970149042717,1.74999999825,0.25,0.142857143
30,81.26036722833544,7.397357194648613,11.342275577015949,1.74999999825,0.25,0.142857143
