t,S,I,R,D,R0,beta, gamma, mu
0,99,1,0,0,1.6006984850594699,0.15,0.090909091,0.0028
1,98.8515,1.054790909,0.090909091,0.0028,1.6006984850594699,0.146296487,0.090909091,0.0028
2,98.69896007116252,1.1084873405600288,0.18679917373225371,0.0057534145452,1.5611771007361497,0.142684414,0.090909091,0.0028
3,98.54285397960594,1.1607180910477228,0.2875707502475734,0.00885717909876808,1.5226315022093215,0.139161523,0.090909091,0.0028
4,98.38368037086688,1.2111218625674347,0.3930905768119771,0.012107189753701704,1.485037593631124,0.135725613,0.090909091,0.0028
5,98.22195702401599,1.2593520805869,0.5031925644282096,0.015498330968890521,1.4483718874191194,0.132374535,0.090909091,0.0028
6,98.05821498486773,1.3050813810144033,0.6176791173233234,0.01902451679453384,1.4126114508996783,0.129106196,0.090909091,0.0028
7,97.8929926853355,1.3480056906507458,0.7363228793523674,0.022678744661374168,1.3777339489932734,0.125918553,0.090909091,0.0028
8,97.7268301709197,1.387847817132839,0.8588688513522539,0.026453160595196257,1.343717580186537,0.122809613,0.090909091,0.0028
9,97.56026353219526,1.424360498467415,0.9850368348541345,0.030339134483168207,1.3105410765322651,0.119777433,0.090909091,0.0028
10,97.39381963077768,1.4573288723173126,1.114524153026114,0.03432734387887697,1.2781837036494144,0.116820117,0.090909091,0.0028
11,97.2280112017597,1.4865723374223885,1.247008596096536,0.03840786472136544,1.2466252287091335,0.113935818,0.090909091,0.0028
12,97.06333239022042,1.5119458065160605,1.3821515359973506,0.042570267266148126,1.21584594177741,0.111122733,0.090909091,0.0028
13,96.90025478082694,1.5333403487396615,1.5196011549089876,0.046803715524393094,1.1858266024584532,0.108379103,0.090909091,0.0028
14,96.73922394943612,1.5506832498564684,1.6589957322065332,0.051097068500864144,1.156548439894695,0.105703213,0.090909091,0.0028
15,96.58065655740306,1.56393752411656,1.7999669368799105,0.055438981600462255,1.12799315276679,0.103093392,0.090909091,0.0028
16,96.42493799613655,1.5731009216173155,1.9421430755781375,0.05981800666798862,1.100142909293614,0.100548007,0.090909091,0.0028
17,96.27242058653952,1.5782044737983214,2.0851522504136297,0.06422268924851711,1.0729802832043265,0.098065468,0.090909091,0.0028
18,96.12342230247894,1.5793106512071273,2.2286253845387685,0.06864166177515241,1.0464883070949862,0.095644223,0.090909091,0.0028
19,95.9782260081906,1.576511179964229,2.3721990802466264,0.07306373159853237,1.020650419071934,0.093282758,0.090909091,0.0028
