t,S,I,R
0,99999,1,0
1,99998.50001,1.409085909,0.090909091
2,99997.79547,1.985519577,0.21900781
3,99996.80273,2.797755699,0.39950959
4,99995.4039,3.942247396,0.653851017
5,99993.43287,5.554894372,1.012237144
6,99990.6556,7.827168763,1.517227541
7,99986.74239,11.02882665,2.228788338
8,99981.2287,15.53988829,3.231408942
9,99973.46022,21.89565679,4.644126059
10,99962.51529,30.8500654,6.634640313
11,99947.09604,43.46476468,9.439191713
12,99925.37516,61.23430748,13.39053396
13,99894.78085,86.261858,18.95728918
14,99851.69531,121.5054179,26.79927627
15,99791.0327,171.1220807,37.84522336
16,99705.65045,240.9477736,53.40177614
17,99585.53118,339.162703,75.3061192
18,99416.65269,477.2082197,106.1390922
19,99179.44047,671.0378735,149.5216576
20,98846.67466,942.8002345,210.5251007
21,98380.71132,1323.054463,296.2342129
22,97729.89613,1853.59198,416.5118913
23,96824.13937,2590.840376,585.0202531
24,95569.85992,3609.588882,820.5511964
25,93845.0204,5006.283957,1148.69564
26,91495.9463,6900.241334,1603.812364
27,88339.22575,9429.66722,2231.10703
28,84174.17824,12737.47225,3088.349505
29,78813.34695,16940.35153,4246.301528
30,72137.71793,22075.94858,5786.333485
31,64175.17517,28031.58692,7793.237901
32,55180.51517,34477.92085,10341.56399
33,45667.968,40856.11158,13475.92043
34,36338.89002,46470.9976,17190.11239
35,27895.36766,50689.8838,21414.74853
36,20825.30294,53151.77728,26022.91979
37,15290.79362,53854.30684,30854.89954
38,11173.41816,53075.83622,35750.74562
39,8208.2256,51215.95276,40575.82164
40,6106.265127,48661.91753,45231.81734
41,4620.552277,45723.8197,49655.62803
42,3564.205781,42623.45531,53812.33891
43,2804.611952,39508.18957,57687.19848
44,2250.586249,36470.56167,61278.85208
45,1840.185526,33565.45679,64594.35769
46,1531.352187,30822.88497,67645.76285
47,1295.348725,28256.80798,70447.8433
48,1112.336624,25871.01935,73016.64402
49,968.4502128,23662.99491,75368.55487
50,853.8680505,21626.39572,77519.73623
51,761.5376087,19752.69019,79485.7722
52,686.3255265,18032.20316,81281.47131
53,624.4457198,16454.79177,82920.76251
54,573.0700984,15010.27723,84416.65267
55,530.0603931,13688.71628,85781.22333
56,493.7811615,12480.56676,87025.65208
57,462.9678177,11376.78312,88160.24906
58,436.6323954,10368.86554,89194.50207
59,413.9954825,9448.878309,90137.12621
60,394.4365178,8609.448336,90996.11515
61,377.4571137,7843.750619,91778.79227
62,362.6537163,7145.485778,92491.86051
63,349.6970315,6508.852847,93141.45012
64,338.3163989,5928.519584,93733.16402
65,328.2878219,5399.591835,94272.12034
66,319.4247207,4917.582951,94762.99233
67,311.5707329,4478.383944,95210.04532
68,304.594066,4078.234797,95617.17114
69,298.3830354,3713.69721,95987.91975
70,292.8425142,3381.628894,96325.52859
71,287.8910907,3079.159509,96632.9494
72,283.4587777,2803.66823,96912.87299
73,279.4851559,2552.762922,97167.75192
74,275.9178592,2324.260862,97399.82128
75,272.7113338,2116.170946,97611.11772
76,269.8258147,1926.677288,97803.4969
77,267.2264784,1754.124143,97978.64938
78,264.8827363,1597.002054,98138.11521
79,262.7676449,1453.935141,98283.29721
80,260.8574094,1323.669454,98415.47314
81,259.1309645,1205.062313,98535.80672
82,257.5696197,1097.072538,98645.35784
83,256.1567569,998.7515337,98745.09171
84,254.8775721,909.2351245,98835.8873
85,253.7188539,827.7361041,98918.54504
86,252.6687926,753.5374287,98993.79378
87,251.7168157,685.986003,99062.29718
88,250.8534446,624.4870102,99124.65955
89,250.070171,568.4987374,99181.43109
90,249.3593481,517.5278569,99233.1128
91,248.7140961,471.1251219,99280.16078
92,248.1282188,428.8814427,99322.99034
93,247.5961309,390.4243086,99361.97956
94,247.1127931,355.4145273,99397.47268
95,246.6736557,323.5432531,99429.78309
96,246.2746077,294.5292781,99459.19611
97,245.9119323,268.1165646,99485.9715
98,245.582267,244.0719968,99510.34574
99,245.2825682,222.1833322,99532.5341
100,245.0100798,202.2573359,99552.73258
101,244.7623043,184.1180808,99571.11961
