t,S,I,R,D
0,99999,1,0,0
1,99998.50001,1.406285909,0.090909091,0.0028
2,99997.79687,1.977636542,0.218753264,0.006737601
3,99996.80808,2.781110506,0.398538405,0.012274983
4,99995.41757,3.911006037,0.651366633,0.020062092
5,99993.46215,5.499922625,1.006912636,0.031012909
6,99990.71237,7.7343114,1.506905602,0.046412693
7,99986.84557,10.87633264,2.21002482,0.068068764
8,99981.40812,15.29457236,3.198782333,0.098522496
9,99973.76226,21.50719629,4.589198002,0.141347298
10,99963.01148,30.24255313,6.544397665,0.201567448
11,99947.8958,42.52423439,9.293720677,0.286246597
12,99926.64476,59.79036579,13.15956017,0.405314453
13,99896.77151,84.06071818,18.59504797,0.572727477
14,99854.78453,118.1704365,26.23693144,0.808097488
15,99795.78512,166.0962097,36.97969839,1.13897471
16,99712.90661,233.4099931,52.07935381,1.604044097
17,99596.53666,327.9072991,73.29844409,2.257592078
18,99433.24451,460.4715608,103.1081986,3.175732515
19,99204.3136,646.2520959,144.9692495,4.465052886
20,98883.75862,906.2473775,203.7194401,6.274558754
21,98435.69289,1269.389494,286.1055653,8.812051411
22,97810.92672,1775.202331,401.5046102,12.366342
23,96942.75579,2477.02066,562.8866403,17.33690852
24,95742.10975,3445.54735,788.0703366,24.27256637
25,94092.68988,4772.088103,1101.301914,33.92009895
26,91847.59685,6569.993095,1535.128105,47.28194564
27,88830.40647,8971.5154,2132.400205,65.6779263
28,84845.68967,12115.51965,2947.992514,90.79816942
29,79705.94157,16119.93341,4049.403391,124.7216244
30,73281.66922,21033.62146,5514.851883,169.857438
31,65574.77476,26769.47437,7426.999288,228.7515781
32,56797.7635,33037.94252,9860.587867,303.7061063
33,47415.35727,39324.39319,12864.03719,396.2123454
34,38092.45651,44962.24082,16438.98202,506.3206463
35,29528.84549,49312.48112,20526.45846,632.2149206
36,22248.14231,51972.15653,25009.41129,770.2898678
37,16466.72264,52883.31266,29734.15279,915.8119061
38,12112.64843,52281.73972,34541.72667,1063.885182
39,8946.296768,50548.81708,39294.6121,1210.274053
40,6685.173174,48073.05698,43889.95911,1351.810741
41,5078.289619,45175.05807,48260.23702,1486.4153
42,3931.229477,42088.80458,52367.06048,1612.905463
43,3103.925731,38972.00472,56193.31544,1730.754115
44,2499.09469,35924.80462,59736.22496,1839.875729
45,2050.197247,33007.22128,63002.11629,1940.465182
46,1711.840676,30252.50116,66002.77277,2032.885401
47,1452.903366,27676.50408,68753.00015,2117.592404
48,1251.846936,25284.02048,71269.04597,2195.086616
49,1093.588319,23072.93652,73567.59329,2265.881873
50,967.4268493,21036.95408,75665.13297,2330.486095
51,865.6682782,19167.35881,77577.58334,2389.389567
52,782.7054057,17454.16592,79320.07051,2443.058172
53,714.3980556,15886.85925,80906.81286,2491.929836
