beta,gamma
0.5,0.090909091
0.487654956,0.090909091
0.475614712,0.090909091
0.463871743,0.090909091
0.452418709,0.090909091
0.441248451,0.090909091
0.430353988,0.090909091
0.41972851,0.090909091
0.409365377,0.090909091
0.399258109,0.090909091
0.389400392,0.090909091
0.379786062,0.090909091
0.37040911,0.090909091
0.361263677,0.090909091
0.352344045,0.090909091
0.343644639,0.090909091
0.335160023,0.090909091
0.326884893,0.090909091
0.318814076,0.090909091
0.310942528,0.090909091
0.30326533,0.090909091
0.295777682,0.090909091
0.288474905,0.090909091
0.281352434,0.090909091
0.274405818,0.090909091
0.267630714,0.090909091
0.261022888,0.090909091
0.25457821,0.090909091
0.248292652,0.090909091
0.242162284,0.090909091
0.236183276,0.090909091
0.23035189,0.090909091
0.224664482,0.090909091
0.219117496,0.090909091
0.213707466,0.090909091
0.20843101,0.090909091
0.20328483,0.090909091
0.19826571,0.090909091
0.193370512,0.090909091
0.188596177,0.090909091
0.183939721,0.090909091
0.179398233,0.090909091
0.174968875,0.090909091
0.170648878,0.090909091
0.166435542,0.090909091
0.162326234,0.090909091
0.158318385,0.090909091
0.15440949,0.090909091
0.150597106,0.090909091
0.14687885,0.090909091
0.143252398,0.090909091
0.139715484,0.090909091
0.136265897,0.090909091
0.13290148,0.090909091
0.12962013,0.090909091
0.126419798,0.090909091
0.123298482,0.090909091
0.120254232,0.090909091
0.117285144,0.090909091
0.114389364,0.090909091
0.11156508,0.090909091
0.108810528,0.090909091
0.106123987,0.090909091
0.103503776,0.090909091
0.100948259,0.090909091
0.098455838,0.090909091
0.096024954,0.090909091
0.09365409,0.090909091
0.091341762,0.090909091
0.089086526,0.090909091
0.086886972,0.090909091
0.084741725,0.090909091
0.082649444,0.090909091
0.080608822,0.090909091
0.078618583,0.090909091
0.076677483,0.090909091
0.07478431,0.090909091
0.072937878,0.090909091
0.071137036,0.090909091
0.069380656,0.090909091
0.067667642,0.090909091
0.065996922,0.090909091
0.064367452,0.090909091
0.062778214,0.090909091
0.061228214,0.090909091
0.059716484,0.090909091
0.058242079,0.090909091
0.056804077,0.090909091
0.055401579,0.090909091
0.054033709,0.090909091
0.052699612,0.090909091
0.051398454,0.090909091
0.050129422,0.090909091
0.048891722,0.090909091
0.047684581,0.090909091
0.046507245,0.090909091
0.045358977,0.090909091
0.04423906,0.090909091
0.043146793,0.090909091
0.042081495,0.090909091
0.041042499,0.090909091
0.040029156,0.090909091
0.039040833,0.090909091
0.038076911,0.090909091
0.037136789,0.090909091
0.036219879,0.090909091
0.035325607,0.090909091
0.034453414,0.090909091
0.033602756,0.090909091
0.032773101,0.090909091
0.031963931,0.090909091
0.031174738,0.090909091
0.030405031,0.090909091
0.029654328,0.090909091
0.02892216,0.090909091
0.02820807,0.090909091
0.02751161,0.090909091
0.026832346,0.090909091
0.026169853,0.090909091
0.025523717,0.090909091
0.024893534,0.090909091
0.024278911,0.090909091
0.023679462,0.090909091
0.023094814,0.090909091
0.022524601,0.090909091
0.021968467,0.090909091
0.021426063,0.090909091
0.020897052,0.090909091
0.020381102,0.090909091
0.019877891,0.090909091
0.019387104,0.090909091
0.018908435,0.090909091
0.018441584,0.090909091
0.017986259,0.090909091
0.017542177,0.090909091
0.017109059,0.090909091
0.016686635,0.090909091
0.01627464,0.090909091
0.015872818,0.090909091
0.015480917,0.090909091
0.015098692,0.090909091
0.014725904,0.090909091
0.01436232,0.090909091
0.014007713,0.090909091
0.013661861,0.090909091
0.013324549,0.090909091
0.012995564,0.090909091
0.012674703,0.090909091
0.012361763,0.090909091
0.01205655,0.090909091
0.011758873,0.090909091
0.011468545,0.090909091
0.011185386,0.090909091
0.010909218,0.090909091
0.010639868,0.090909091
0.010377169,0.090909091
0.010120956,0.090909091
0.009871068,0.090909091
0.009627351,0.090909091
0.009389651,0.090909091
0.009157819,0.090909091
0.008931712,0.090909091
0.008711187,0.090909091
0.008496107,0.090909091
0.008286338,0.090909091
0.008081747,0.090909091
0.007882208,0.090909091
0.007687596,0.090909091
0.007497788,0.090909091
0.007312667,0.090909091
0.007132117,0.090909091
0.006956024,0.090909091
0.00678428,0.090909091
0.006616775,0.090909091
0.006453406,0.090909091
0.006294071,0.090909091
0.00613867,0.090909091
0.005987106,0.090909091
0.005839283,0.090909091
0.005695111,0.090909091
0.005554498,0.090909091
0.005417357,0.090909091
0.005283602,0.090909091
0.00515315,0.090909091
0.005025918,0.090909091
0.004901828,0.090909091
0.004780801,0.090909091
0.004662763,0.090909091
0.004547639,0.090909091
0.004435357,0.090909091
0.004325848,0.090909091
0.004219042,0.090909091
0.004114874,0.090909091
0.004013277,0.090909091
0.003914189,0.090909091
0.003817547,0.090909091
0.003723292,0.090909091
0.003631363,0.090909091
0.003541704,0.090909091
0.003454259,0.090909091
0.003368973,0.090909091
0.003285793,0.090909091
0.003204667,0.090909091
0.003125543,0.090909091
0.003048373,0.090909091
0.002973109,0.090909091
0.002899702,0.090909091
0.002828108,0.090909091
0.002758282,0.090909091
0.00269018,0.090909091
0.002623759,0.090909091
0.002558978,0.090909091
0.002495797,0.090909091
2.43E-03,0.090909091
2.37E-03,0.090909091
2.32E-03,0.090909091
2.26E-03,0.090909091
2.20E-03,0.090909091
2.15E-03,0.090909091
2.10E-03,0.090909091
2.04E-03,0.090909091
1.99E-03,0.090909091
1.94E-03,0.090909091
1.90E-03,0.090909091
1.85E-03,0.090909091
1.80E-03,0.090909091
1.76E-03,0.090909091
1.72E-03,0.090909091
1.67E-03,0.090909091
1.63E-03,0.090909091
1.59E-03,0.090909091
1.55E-03,0.090909091
1.51E-03,0.090909091
1.48E-03,0.090909091
1.44E-03,0.090909091
1.40E-03,0.090909091
1.37E-03,0.090909091
1.34E-03,0.090909091
1.30E-03,0.090909091
1.27E-03,0.090909091
1.24E-03,0.090909091
1.21E-03,0.090909091
1.18E-03,0.090909091
1.15E-03,0.090909091
1.12E-03,0.090909091
1.09E-03,0.090909091
1.07E-03,0.090909091
