beta,gamma
0.5,0.090909091
0.5,0.090909091
0.5,0.090909091
0.5,0.090909091
0.5,0.090909091
0.5,0.090909091
0.5,0.090909091
0.5,0.090909091
0.5,0.090909091
0.5,0.090909091
0.5,0.090909091
0.5,0.090909091
0.5,0.090909091
0.5,0.090909091
0.5,0.090909091
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
0.4,0.071428571
