beta,gamma,mu
0.15,0.090909091,0.0028
0.146296487,0.090909091,0.0028
0.142684414,0.090909091,0.0028
0.139161523,0.090909091,0.0028
0.135725613,0.090909091,0.0028
0.132374535,0.090909091,0.0028
0.129106196,0.090909091,0.0028
0.125918553,0.090909091,0.0028
0.122809613,0.090909091,0.0028
0.119777433,0.090909091,0.0028
0.116820117,0.090909091,0.0028
0.113935818,0.090909091,0.0028
0.111122733,0.090909091,0.0028
0.108379103,0.090909091,0.0028
0.105703213,0.090909091,0.0028
0.103093392,0.090909091,0.0028
0.100548007,0.090909091,0.0028
0.098065468,0.090909091,0.0028
0.095644223,0.090909091,0.0028
0.093282758,0.090909091,0.0028
0.090979599,0.090909091,0.0028
0.088733305,0.090909091,0.0028
0.086542472,0.090909091,0.0028
0.08440573,0.090909091,0.0028
0.082321745,0.090909091,0.0028
0.080289214,0.090909091,0.0028
0.078306867,0.090909091,0.0028
0.076373463,0.090909091,0.0028
0.074487796,0.090909091,0.0028
0.072648685,0.090909091,0.0028
0.070854983,0.090909091,0.0028
0.069105567,0.090909091,0.0028
0.067399345,0.090909091,0.0028
0.065735249,0.090909091,0.0028
0.06411224,0.090909091,0.0028
0.062529303,0.090909091,0.0028
0.060985449,0.090909091,0.0028
0.059479713,0.090909091,0.0028
0.058011154,0.090909091,0.0028
0.056578853,0.090909091,0.0028
0.055181916,0.090909091,0.0028
0.05381947,0.090909091,0.0028
0.052490662,0.090909091,0.0028
0.051194663,0.090909091,0.0028
0.049930663,0.090909091,0.0028
0.04869787,0.090909091,0.0028
0.047495515,0.090909091,0.0028
0.046322847,0.090909091,0.0028
0.045179132,0.090909091,0.0028
0.044063655,0.090909091,0.0028
0.04297572,0.090909091,0.0028
0.041914645,0.090909091,0.0028
0.040879769,0.090909091,0.0028
0.039870444,0.090909091,0.0028
0.038886039,0.090909091,0.0028
0.037925939,0.090909091,0.0028
0.036989545,0.090909091,0.0028
0.036076269,0.090909091,0.0028
0.035185543,0.090909091,0.0028
0.034316809,0.090909091,0.0028
0.033469524,0.090909091,0.0028
0.032643159,0.090909091,0.0028
0.031837196,0.090909091,0.0028
0.031051133,0.090909091,0.0028
0.030284478,0.090909091,0.0028
0.029536751,0.090909091,0.0028
0.028807486,0.090909091,0.0028
0.028096227,0.090909091,0.0028
0.027402529,0.090909091,0.0028
0.026725958,0.090909091,0.0028
0.026066092,0.090909091,0.0028
0.025422517,0.090909091,0.0028
0.024794833,0.090909091,0.0028
0.024182647,0.090909091,0.0028
0.023585575,0.090909091,0.0028
0.023003245,0.090909091,0.0028
0.022435293,0.090909091,0.0028
0.021881364,0.090909091,0.0028
0.021341111,0.090909091,0.0028
0.020814197,0.090909091,0.0028
0.020300292,0.090909091,0.0028
0.019799076,0.090909091,0.0028
0.019310236,0.090909091,0.0028
0.018833464,0.090909091,0.0028
0.018368464,0.090909091,0.0028
0.017914945,0.090909091,0.0028
0.017472624,0.090909091,0.0028
0.017041223,0.090909091,0.0028
0.016620474,0.090909091,0.0028
0.016210113,0.090909091,0.0028
0.015809884,0.090909091,0.0028
0.015419536,0.090909091,0.0028
0.015038827,0.090909091,0.0028
0.014667517,0.090909091,0.0028
0.014305374,0.090909091,0.0028
0.013952173,0.090909091,0.0028
0.013607693,0.090909091,0.0028
0.013271718,0.090909091,0.0028
0.012944038,0.090909091,0.0028
0.012624449,0.090909091,0.0028
0.01231275,0.090909091,0.0028
0.012008747,0.090909091,0.0028
0.01171225,0.090909091,0.0028
0.011423073,0.090909091,0.0028
0.011141037,0.090909091,0.0028
0.010865964,0.090909091,0.0028
0.010597682,0.090909091,0.0028
0.010336024,0.090909091,0.0028
0.010080827,0.090909091,0.0028
0.00983193,0.090909091,0.0028
0.009589179,0.090909091,0.0028
0.009352422,0.090909091,0.0028
0.009121509,0.090909091,0.0028
0.008896299,0.090909091,0.0028
0.008676648,0.090909091,0.0028
0.008462421,0.090909091,0.0028
0.008253483,0.090909091,0.0028
0.008049704,0.090909091,0.0028
0.007850956,0.090909091,0.0028
0.007657115,0.090909091,0.0028
0.00746806,0.090909091,0.0028
0.007283673,0.090909091,0.0028
0.007103839,0.090909091,0.0028
0.006928444,0.090909091,0.0028
0.00675738,0.090909091,0.0028
0.00659054,0.090909091,0.0028
0.006427819,0.090909091,0.0028
0.006269116,0.090909091,0.0028
0.006114331,0.090909091,0.0028
0.005963367,0.090909091,0.0028
0.005816131,0.090909091,0.0028
0.00567253,0.090909091,0.0028
0.005532475,0.090909091,0.0028
0.005395878,0.090909091,0.0028
0.005262653,0.090909091,0.0028
0.005132718,0.090909091,0.0028
0.00500599,0.090909091,0.0028
0.004882392,0.090909091,0.0028
0.004761845,0.090909091,0.0028
0.004644275,0.090909091,0.0028
0.004529608,0.090909091,0.0028
0.004417771,0.090909091,0.0028
0.004308696,0.090909091,0.0028
0.004202314,0.090909091,0.0028
0.004098558,0.090909091,0.0028
0.003997365,0.090909091,0.0028
0.003898669,0.090909091,0.0028
0.003802411,0.090909091,0.0028
0.003708529,0.090909091,0.0028
0.003616965,0.090909091,0.0028
0.003527662,0.090909091,0.0028
0.003440564,0.090909091,0.0028
0.003355616,0.090909091,0.0028
0.003272765,0.090909091,0.0028
0.00319196,0.090909091,0.0028
0.003113151,0.090909091,0.0028
0.003036287,0.090909091,0.0028
0.002961321,0.090909091,0.0028
0.002888205,0.090909091,0.0028
0.002816895,0.090909091,0.0028
0.002747346,0.090909091,0.0028
0.002679514,0.090909091,0.0028
0.002613356,0.090909091,0.0028
0.002548832,0.090909091,0.0028
0.002485901,0.090909091,0.0028
0.002424524,0.090909091,0.0028
0.002364662,0.090909091,0.0028
0.002306279,0.090909091,0.0028
0.002249337,0.090909091,0.0028
0.0021938,0.090909091,0.0028
0.002139635,0.090909091,0.0028
0.002086807,0.090909091,0.0028
0.002035284,0.090909091,0.0028
0.001985033,0.090909091,0.0028
0.001936022,0.090909091,0.0028
0.001888221,0.090909091,0.0028
0.001841601,0.090909091,0.0028
0.001796132,0.090909091,0.0028
0.001751785,0.090909091,0.0028
0.001708533,0.090909091,0.0028
0.001666349,0.090909091,0.0028
0.001625207,0.090909091,0.0028
0.001585081,0.090909091,0.0028
0.001545945,0.090909091,0.0028
0.001507775,0.090909091,0.0028
0.001470548,0.090909091,0.0028
0.00143424,0.090909091,0.0028
0.001398829,0.090909091,0.0028
0.001364292,0.090909091,0.0028
0.001330607,0.090909091,0.0028
0.001297754,0.090909091,0.0028
0.001265713,0.090909091,0.0028
0.001234462,0.090909091,0.0028
0.001203983,0.090909091,0.0028
0.001174257,0.090909091,0.0028
0.001145264,0.090909091,0.0028
0.001116987,0.090909091,0.0028
0.001089409,0.090909091,0.0028
0.001062511,0.090909091,0.0028
0.001036278,0.090909091,0.0028
0.001010692,0.090909091,0.0028
0.000985738,0.090909091,0.0028
0.0009614,0.090909091,0.0028
0.000937663,0.090909091,0.0028
0.000914512,0.090909091,0.0028
0.000891933,0.090909091,0.0028
0.000869911,0.090909091,0.0028
0.000848433,0.090909091,0.0028
0.000827485,0.090909091,0.0028
0.000807054,0.090909091,0.0028
0.000787128,0.090909091,0.0028
0.000767694,0.090909091,0.0028
